Player,Recpt,Yd,Avg,TD,FL,FPTS
Evan Engram,5,61,11.3,0,0,8.4
Travis Kelce,5,63,11.2,0,0,8.2
Vernon Davis,4,71,15.0,0,0,7.4
Jack Doyle,4,50,10.6,0,0,6.6
Jimmy Graham,4,49,11.7,0,0,6.2
Cameron Brate,3,43,12.3,0,0,5.8
Jason Witten,4,47,11.0,0,0,5.6
Austin Seferian-Jenkins,4,49,10.1,0,0,5.6
Ed Dickson,3,48,14.7,0,0,5.2
Marcedes Lewis,2,28,11.2,0,0,5
Jared Cook,4,43,10.4,0,0,4.8
Tyler Kroft,3,33,8.6,0,0,4.8
O.J. Howard,2,38,14.3,0,0,4.8
Austin Hooper,3,39,12.4,0,0,4.8
Nick O'Leary,2,40,17.4,0,0,4.6
Benjamin Watson,3,31,8.1,0,0,4.2
Eric Ebron,3,37,11.6,0,0,4.2
Delanie Walker,2,33,11.4,0,0,4
A.J. Derby,2,30,11.8,0,0,3.8
Rhett Ellison,2,22,8.8,0,0,3.2
Luke Willson,2,23,11.3,0,0,3.2
Coby Fleener,2,29,11.5,0,0,3.2
Darren Fells,1,18,10.3,0,0,2.8
Jonnu Smith,1,18,10.1,0,0,2.8
Tyler Higbee,1,23,12.8,0,0,2.6
Julius Thomas,2,26,10.3,0,0,2.6
Josh Hill,2,22,10.3,0,0,2.6
Jermaine Gresham,2,24,10.6,0,0,2.6
Ryan Griffin,2,24,11.0,0,0,2.6
Trey Burton,2,18,8.7,0,0,2.2
Garrett Celek,2,19,9.5,0,0,2.2
Michael Hoomanawanui,1,18,10.6,0,0,2
Eric Tomlinson,1,14,10.4,0,0,1.6
Gerald Everett,1,19,12.9,0,0,1.6
Lance Kendricks,1,19,11.2,0,0,1.6
Jeff Heuerman,1,17,9.7,0,0,1.6
Virgil Green,1,14,10.0,0,0,1.6
Phillip Supernaw,1,13,10.5,0,0,1.6
Anthony Fasano,1,12,9.2,0,0,1.6
Jerell Adams,1,16,9.2,0,0,1.6
Stephen Anderson,1,13,11.4,0,0,1.6
Brent Celek,1,14,8.7,0,0,1.6
Logan Thomas,1,12,10.0,0,0,1.6
Demetrius Harris,2,19,9.2,0,0,1.6
Richard Rodgers,1,9,8.5,0,0,0.6
Troy Niklas,0,7,10.7,0,0,0.6
MarQueis Gray,0,2,13.5,0,0,0
Geoff Swaim,0,3,11.7,0,0,0
Neal Sterling,0,3,10.3,0,0,0
Henry Krieger-Coble,0,0,0.0,0,0,0
Jim Dray,0,2,7.3,0,0,0
Eric Saubert,0,2,12.0,0,0,0
Jordan Leggett,0,0,0.0,0,0,0
Gavin Escobar,0,0,0.0,0,0,0
Chris Gragg,0,0,0.0,0,0,0
Evan Baylis,0,2,11.5,0,0,0
RaShaun Allen,0,0,0.0,0,0,0
Ben Koyack,0,2,9.3,0,0,0
Alan Cross,0,0,0.0,0,0,0
C.J. Uzomah,0,2,9.7,0,0,0
Jeremy Sprinkle,0,2,9.3,0,0,0
Levine Toilolo,0,1,15.0,0,0,0
Lee Smith,0,2,8.0,0,0,0
Nick Vannett,0,2,8.0,0,0,0
Darrell Daniels,0,1,9.5,0,0,0
Niles Paul,0,2,10.0,0,0,0
James O'Shaughnessy,0,1,8.0,0,0,0
Ross Travis,0,2,8.3,0,0,0
Brandon Williams,0,3,11.3,0,0,0
Ifeanyi Momah,0,3,18.0,0,0,0
Chris Manhertz,0,2,12.0,0,0,0
Clive Walford,0,4,9.4,0,0,0
Derek Carrier,0,2,8.3,0,0,0
Luke Stocker,0,2,6.7,0,0,0
Logan Paulsen,0,0,0.0,0,0,0
Ryan Hewitt,0,1,9.0,0,0,0
Michael Roberts,0,2,9.7,0,0,0
Khari Lee,0,1,8.5,0,0,0
Maxx Williams,1,7,6.8,0,0,-0.2
