Player,Recpt,Yd,Avg,TD,FL,FPTS
Rob Gronkowski,5,80,14.7,0,0,11
Travis Kelce,5,61,10.6,0,0,7.6
Jordan Reed,5,57,11.5,0,0,7.2
Kyle Rudolph,4,46,10.0,0,0,6.4
Austin Seferian-Jenkins,4,43,10.0,0,0,5.8
Zach Ertz,6,52,8.8,0,0,5.8
Benjamin Watson,4,41,9.3,0,0,5.8
Austin Hooper,2,44,15.9,0,0,5.8
Jared Cook,3,40,10.9,0,0,5.6
Cameron Brate,3,38,12.2,0,0,5.4
Hunter Henry,3,38,12.0,0,0,5.2
Vernon Davis,3,45,15.2,0,0,5.2
Zach Miller,3,43,12.3,0,0,5.2
Ed Dickson,2,46,20.4,0,0,5.2
Coby Fleener,3,37,10.6,0,0,4.8
A.J. Derby,2,35,12.5,0,0,4.6
Marcedes Lewis,2,22,10.7,0,0,4.4
Martellus Bennett,4,38,9.7,0,0,4.2
George Kittle,3,32,9.4,0,0,4.2
Ryan Griffin,3,34,9.4,0,0,4.2
Eric Ebron,3,39,11.1,0,0,4.2
Antonio Gates,2,30,10.8,0,0,4
David Njoku,2,21,10.0,0,0,3.8
Evan Engram,4,36,8.8,0,0,3.6
Julius Thomas,2,25,9.8,0,0,3.2
Jesse James,3,29,9.7,0,0,3.2
O.J. Howard,2,25,11.5,0,0,3.2
Darren Fells,1,19,10.3,0,0,2.8
Garrett Celek,2,19,9.3,0,0,2.8
Tyler Higbee,1,21,12.6,0,0,2.6
Maxx Williams,3,21,6.8,0,0,2.6
Jermaine Gresham,2,27,9.6,0,0,2.6
Randall Telfer,2,20,10.0,0,0,2.6
Seth DeValve,1,23,13.6,0,0,2.6
Dion Sims,2,20,10.3,0,0,2.6
Demetrius Harris,2,18,8.4,0,0,2.2
Josh Hill,1,12,9.5,0,0,1.6
Trey Burton,2,18,7.4,0,0,1.6
Gerald Everett,1,19,11.5,0,0,1.6
Lance Kendricks,1,12,11.2,0,0,1.6
Rhett Ellison,2,18,8.0,0,0,1.6
Virgil Green,1,19,10.8,0,0,1.6
Jerell Adams,1,14,8.8,0,0,1.6
Stephen Anderson,1,18,11.4,0,0,1.6
Adam Shaheen,1,17,10.0,0,0,1.6
Nick Boyle,1,10,8.7,0,0,1.6
Vance McDonald,0,7,14.6,0,0,0.6
Dwayne Allen,0,6,11.5,0,0,0.6
MarQueis Gray,0,2,11.5,0,0,0
Delanie Walker,3,48,13.7,0,0,0
Neal Sterling,0,2,9.3,0,0,0
Henry Krieger-Coble,0,0,0.0,0,0,0
Will Tye,0,0,0.0,0,0,0
Michael Hoomanawanui,0,3,7.5,0,0,0
Eric Tomlinson,0,0,0.0,0,0,0
Jim Dray,0,2,8.7,0,0,0
Jack Doyle,4,47,11.5,0,0,0
Eric Saubert,0,2,9.3,0,0,0
Jordan Leggett,0,0,0.0,0,0,0
Chris Gragg,0,0,0.0,0,0,0
Evan Baylis,0,2,9.0,0,0,0
Richard Rodgers,0,3,8.0,0,0,0
RaShaun Allen,0,0,0.0,0,0,0
Ben Koyack,0,3,7.8,0,0,0
Alan Cross,0,0,0.0,0,0,0
Jeremy Sprinkle,0,3,10.3,0,0,0
Matt Lengel,0,0,0.0,0,0,0
Levine Toilolo,0,1,17.0,0,0,0
Lee Smith,0,1,6.0,0,0,0
Jacob Hollister,0,2,9.7,0,0,0
Jeff Heuerman,0,4,16.0,0,0,0
David Morgan,0,1,9.0,0,0,0
Darrell Daniels,0,2,11.0,0,0,0
Niles Paul,0,1,7.0,0,0,0
James O'Shaughnessy,0,1,19.0,0,0,0
Ross Travis,0,2,9.7,0,0,0
Brandon Williams,0,4,13.3,0,0,0
Sean McGrath,0,1,9.5,0,0,0
Phillip Supernaw,1,18,11.5,0,0,0
Ifeanyi Momah,0,4,24.5,0,0,0
Anthony Fasano,0,2,9.0,0,0,0
Chris Manhertz,0,0,0.0,0,0,0
Clive Walford,0,4,10.7,0,0,0
Derek Carrier,0,2,7.3,0,0,0
Luke Stocker,0,2,5.7,0,0,0
Brent Celek,0,4,10.5,0,0,0
Jonnu Smith,2,28,11.4,0,0,0
Logan Paulsen,0,1,6.3,0,0,0
Daniel Brown,0,3,7.5,0,0,0
Troy Niklas,0,8,11.0,0,0,0
Xavier Grimble,0,2,11.0,0,0,0
Michael Roberts,0,2,9.7,0,0,0
Blake Bell,0,4,14.0,0,0,0
