Player,Recpt,Yd,Avg,TD,FL,FPTS
Travis Kelce,5,60,12.2,0,0,7.8
Zach Ertz,5,52,10.3,0,0,6.6
Cameron Brate,3,43,13.5,0,0,5.8
Jason Witten,3,40,10.7,0,0,5.6
Charles Clay,4,40,9.9,0,0,5.2
Delanie Walker,4,49,11.5,0,0,5.2
Austin Seferian-Jenkins,4,42,10.6,0,0,5.2
Benjamin Watson,4,49,10.4,0,0,5.2
Jimmy Graham,4,46,11.7,0,0,5
Kyle Rudolph,3,36,9.9,0,0,4.8
Hunter Henry,2,31,10.8,0,0,4.8
Jesse James,3,36,9.5,0,0,4.8
Evan Engram,3,39,10.8,0,0,4.8
Dwayne Allen,2,31,11.6,0,0,4.8
Martellus Bennett,4,39,8.7,0,0,4.2
Zach Miller,3,35,11.5,0,0,4.2
Eric Ebron,4,38,9.5,0,0,4.2
Jared Cook,3,38,10.6,0,0,4
Ryan Griffin,2,30,10.4,0,0,4
Tyler Kroft,2,28,9.8,0,0,3.8
Marcedes Lewis,2,22,8.8,0,0,3.8
Jonnu Smith,2,29,10.8,0,0,3.8
Garrett Celek,1,21,11.3,0,0,3.6
Julius Thomas,2,25,9.8,0,0,3.2
O.J. Howard,2,27,12.5,0,0,3.2
Luke Willson,2,20,10.4,0,0,3.2
Antonio Gates,2,28,9.8,0,0,3
David Njoku,2,19,8.8,0,0,2.8
George Kittle,2,27,10.0,0,0,2.6
Gerald Everett,1,21,13.6,0,0,2.6
Jermaine Gresham,2,29,10.4,0,0,2.6
Ed Dickson,2,22,10.6,0,0,2.6
Brandon Williams,1,20,12.2,0,0,2.6
Seth DeValve,2,28,13.5,0,0,2.6
Demetrius Harris,1,17,9.2,0,0,2.2
Tyler Higbee,1,15,10.3,0,0,1.6
Henry Krieger-Coble,1,11,11.9,0,0,1.6
Trey Burton,2,17,8.5,0,0,1.6
Richard Rodgers,1,11,8.4,0,0,1.6
Jacob Hollister,1,14,11.2,0,0,1.6
Darren Fells,1,15,8.4,0,0,1.6
Randall Telfer,2,19,9.7,0,0,1.6
Stephen Anderson,1,12,10.5,0,0,1.6
Adam Shaheen,1,14,9.0,0,0,1.6
Dion Sims,1,17,9.2,0,0,1.6
Nick Boyle,2,18,8.5,0,0,1.6
Lance Kendricks,1,18,9.5,0,0,1.4
Vance McDonald,0,8,13.5,0,0,0.6
Rhett Ellison,0,8,10.1,0,0,0.6
MarQueis Gray,0,4,13.7,0,0,0
Geoff Swaim,0,2,9.7,0,0,0
Neal Sterling,0,4,8.0,0,0,0
Will Tye,0,0,0.0,0,0,0
Eric Tomlinson,0,0,0.0,0,0,0
Jim Dray,0,2,9.0,0,0,0
Jordan Leggett,0,0,0.0,0,0,0
Chris Gragg,0,0,0.0,0,0,0
Evan Baylis,0,2,11.5,0,0,0
RaShaun Allen,0,0,0.0,0,0,0
Ben Koyack,0,3,8.5,0,0,0
Alan Cross,0,0,0.0,0,0,0
C.J. Uzomah,0,3,8.8,0,0,0
Matt Lengel,0,0,0.0,0,0,0
Lee Smith,0,1,6.0,0,0,0
Nick Vannett,0,3,10.0,0,0,0
David Morgan,0,1,9.5,0,0,0
Darrell Daniels,0,2,11.5,0,0,0
James O'Shaughnessy,0,1,14.0,0,0,0
Ross Travis,0,2,10.5,0,0,0
Sean McGrath,0,1,14.0,0,0,0
Phillip Supernaw,0,1,13.0,0,0,0
Ifeanyi Momah,0,4,23.5,0,0,0
Anthony Fasano,0,2,13.0,0,0,0
Jerell Adams,0,5,14.0,0,0,0
Chris Manhertz,0,0,0.0,0,0,0
Clive Walford,0,4,10.5,0,0,0
Derek Carrier,0,2,10.5,0,0,0
Nick O'Leary,0,7,9.5,0,0,0
Luke Stocker,0,2,5.2,0,0,0
Brent Celek,0,4,10.2,0,0,0
Logan Paulsen,0,2,10.0,0,0,0
Logan Thomas,0,1,9.0,0,0,0
Daniel Brown,0,3,8.0,0,0,0
Troy Niklas,0,8,11.7,0,0,0
Ryan Hewitt,0,1,17.0,0,0,0
Xavier Grimble,0,2,10.5,0,0,0
Michael Roberts,0,2,8.0,0,0,0
Khari Lee,0,1,7.5,0,0,0
Blake Bell,0,4,15.0,0,0,0
