Player,Recpt,Yd,Avg,TD,FL,FPTS
Antonio Brown,8,121,14.1,0,0,14.8
A.J. Green,5,91,15.6,0,0,11.8
Julio Jones,6,99,15.3,0,0,11.4
Jarvis Landry,8,87,10.3,0,0,10.2
Mike Evans,5,70,12.8,0,0,9.4
Dez Bryant,4,61,13.0,0,0,9
Doug Baldwin,5,63,11.0,0,0,8.4
Brandin Cooks,4,64,14.5,0,0,8.4
Michael Crabtree,4,52,11.2,0,0,8
Kenny Stills,3,54,15.7,0,0,8
Chris Hogan,3,54,14.0,0,0,8
Keenan Allen,5,71,13.0,0,0,8
Alshon Jeffery,4,64,13.4,0,0,7.8
Amari Cooper,4,61,12.9,0,0,7.8
Demaryius Thomas,5,79,13.7,0,0,7.8
Kelvin Benjamin,4,68,15.5,0,0,7.2
T.Y. Hilton,4,63,13.5,0,0,7
Nelson Agholor,3,48,13.8,0,0,7
Stefon Diggs,4,56,12.3,0,0,6.8
Adam Thielen,5,60,11.9,0,0,6.8
Michael Thomas,5,57,11.0,0,0,6.8
DeAndre Hopkins,6,57,9.5,0,0,6.8
JuJu Smith-Schuster,3,43,13.6,0,0,6.4
Paul Richardson,2,46,15.9,0,0,6.4
Devin Funchess,3,49,13.1,0,0,6.4
DeSean Jackson,3,50,15.2,0,0,6.2
Pierre Garcon,4,52,11.6,0,0,6.2
Jeremy Maclin,4,46,10.5,0,0,5.8
Jermaine Kearse,3,42,11.1,0,0,5.8
Tyreek Hill,4,47,11.4,0,0,5.8
Donte Moncrief,3,42,12.6,0,0,5.8
Marvin Jones,3,40,11.7,0,0,5.8
Ted Ginn,3,44,13.5,0,0,5.6
Mohamed Sanu,3,44,11.6,0,0,5.2
Robby Anderson,3,46,14.4,0,0,5.2
Terrance Williams,3,43,12.5,0,0,5.2
Golden Tate,4,43,9.1,0,0,5.2
Will Fuller,3,36,12.3,0,0,4.8
Josh Doctson,2,36,13.5,0,0,4.8
Terrelle Pryor,3,42,12.0,0,0,4.6
Cole Beasley,3,35,10.1,0,0,4.6
Brandon Coleman,2,29,13.5,0,0,4.4
Taylor Gabriel,2,37,13.5,0,0,4.2
Tyrell Williams,3,45,15.1,0,0,4.2
Deonte Thompson,2,33,16.1,0,0,4.2
Chris Godwin,2,30,12.6,0,0,4.2
Bennie Fowler,2,33,12.0,0,0,4.2
Torrey Smith,2,37,15.0,0,0,4.2
Jordan Matthews,2,37,13.0,0,0,4.2
Brice Butler,1,30,21.5,0,0,4.2
Brandon LaFell,3,38,11.7,0,0,4.2
Jeremy Kerley,3,35,9.3,0,0,4
Adam Humphries,3,35,10.2,0,0,4
Danny Amendola,3,35,10.8,0,0,4
Travis Benjamin,2,33,15.4,0,0,4
Chris Moore,2,24,10.3,0,0,3.8
Andre Holmes,1,21,13.4,0,0,3.8
Marquise Goodwin,2,39,16.6,0,0,3.6
Kendall Wright,2,31,13.7,0,0,3.6
Michael Campanaro,2,30,10.5,0,0,3.6
Tyler Lockett,3,39,12.4,0,0,3.6
J.D. McKissic,1,14,11.3,0,0,3.6
Willie Snead,3,39,12.4,0,0,3.4
Albert Wilson,2,25,10.4,0,0,3.2
Justin Hardy,2,27,13.7,0,0,3.2
Seth Roberts,2,26,12.0,0,0,3.2
Trent Taylor,2,20,8.7,0,0,2.8
Brandon Tate,0,12,14.0,0,0,2.8
Mike Williams,2,28,13.4,0,0,2.6
Cordarrelle Patterson,1,17,10.6,0,0,2.6
Alex Erickson,1,26,15.5,0,0,2.6
Kamar Aiken,2,27,11.1,0,0,2.6
Michael Floyd,1,22,12.4,0,0,2.6
Curtis Samuel,1,27,14.7,0,0,2.6
Zay Jones,2,27,12.9,0,0,2.6
Tommylee Lewis,1,21,11.3,0,0,2.6
Kenny Britt,2,29,12.6,0,0,2.6
Ryan Grant,2,21,10.3,0,0,2.6
T.J. Jones,2,27,12.1,0,0,2.6
Russell Shepard,1,25,14.1,0,0,2.6
John Ross,1,23,14.9,0,0,2.4
Eli Rogers,2,28,10.9,0,0,2.4
Bruce Ellington,2,24,9.7,0,0,2.4
De'Anthony Thomas,1,17,11.2,0,0,2.2
Ricardo Louis,2,22,10.1,0,0,2
Kasen Williams,2,22,9.4,0,0,2
Jamison Crowder,3,29,9.3,0,0,2
Breshad Perriman,1,17,11.0,0,0,1.6
Jared Abbrederis,1,14,10.1,0,0,1.6
Tre McBride,1,15,14.0,0,0,1.6
Aldrick Robinson,1,19,13.6,0,0,1.6
Justin Hunter,1,15,13.2,0,0,1.6
Laquon Treadwell,1,18,10.5,0,0,1.6
Darrius Heyward-Bey,1,15,13.2,0,0,1.6
Demarcus Robinson,1,17,10.5,0,0,1.6
Tanner Gentry,1,19,13.9,0,0,1.4
Jarius Wright,1,19,11.4,0,0,1.4
Griff Whalen,1,14,9.7,0,0,1.2
Chester Rogers,1,13,13.9,0,0,1
Bryce Treggs,1,18,11.2,0,0,1
Dontrelle Inman,0,10,12.6,0,0,1
Rashard Higgins,2,17,8.9,0,0,1
Marvin Hall,0,5,18.0,0,0,0.6
Johnny Holton,0,3,37.0,0,0,0.6
Phillip Dorsett,0,7,18.2,0,0,0
Stacy Coley,0,0,0.0,0,0,0
Rueben Randle,0,0,0.0,0,0,0
Kaelin Clay,0,3,18.5,0,0,0
Brian Quick,0,8,13.7,0,0,0
Reggie Davis,0,2,9.7,0,0,0
Amara Darboh,0,3,12.7,0,0,0
Max McCaffrey,0,4,10.0,0,0,0
Matthew Slater,0,0,0.0,0,0,0
Josh Malone,0,4,13.7,0,0,0
Jehu Chesson,0,3,10.3,0,0,0
Kalif Raymond,0,0,0.0,0,0,0
Geremy Davis,0,2,11.0,0,0,0
Sammie Coates,0,7,10.9,0,0,0
Cody Latimer,0,2,9.7,0,0,0
Ryan Switzer,0,2,11.5,0,0,0
Jaydon Mickens,0,0,0.0,0,0,0
Damore'ea Stringfellow,0,0,0.0,0,0,0
Andre Roberts,0,5,18.0,0,0,0
Josh Bellamy,0,4,15.3,0,0,0
Devin Lucien,0,0,0.0,0,0,0
Vince Mayle,0,0,5.0,0,0,0
Andy Jones,0,0,0.0,0,0,0
Tanner McEvoy,0,1,18.0,0,0,0
Corey Brown,0,0,0.0,0,0,0
Jordan Taylor,0,2,12.5,0,0,0
Jordan Leslie,0,0,0.0,0,0,0
Rashawn Scott,0,0,0.0,0,0,0
Mack Hollins,0,5,19.7,0,0,0
Braxton Miller,0,1,4.5,0,0,0
Quan Bray,0,4,13.3,0,0,0
Shelton Gibson,0,3,13.0,0,0,0
Matt Hazel,0,0,0.0,0,0,0
Austin Carr,0,4,13.7,0,0,0
Chris Matthews,0,8,10.6,0,0,0
Jalin Marshall,0,0,0.0,0,0,0
Jakeem Grant,0,1,7.0,0,0,0
Dom Williams,0,0,0.0,0,0,0
Nick Williams,0,6,12.4,0,0,0
Isaiah McKenzie,0,2,11.0,0,0,0
Noah Brown,0,3,12.3,0,0,0
Leonte Carroo,0,3,10.7,0,0,0
Krishawn Hogan,0,0,0.0,0,0,0
Rodney Adams,0,0,0.0,0,0,0
Chad Hansen,0,1,13.0,0,0,0
Cody Core,0,8,14.0,0,0,0
Chris Thompson,0,0,0.0,0,0,0
Hunter Sharp,0,3,11.7,0,0,0
Marcus Johnson,0,0,0.0,0,0,0
