Player,Recpt,Yd,Avg,TD,FL,FPTS
Rob Gronkowski,5,75,14.4,0,0,10.6
Zach Ertz,5,69,11.9,0,0,8.8
Tyler Kroft,4,47,11.8,0,0,7
Jordan Reed,5,50,9.9,0,0,6.6
Ed Dickson,2,50,17.3,0,0,6.2
Hunter Henry,3,46,13.6,0,0,5.8
Jimmy Graham,4,44,11.1,0,0,5.6
Travis Kelce,4,48,10.5,0,0,5.6
Austin Seferian-Jenkins,4,39,9.1,0,0,5.2
Austin Hooper,3,42,14.1,0,0,5.2
Jared Cook,3,43,11.4,0,0,5
Jack Doyle,4,44,10.2,0,0,5
Jason Witten,4,40,10.1,0,0,4.8
Kyle Rudolph,4,38,9.3,0,0,4.8
Cameron Brate,3,36,11.3,0,0,4.8
O.J. Howard,2,35,13.0,0,0,4.8
A.J. Derby,3,42,13.6,0,0,4.8
Vernon Davis,3,43,14.4,0,0,4.2
Jesse James,3,29,9.4,0,0,3.8
Zach Miller,2,27,12.9,0,0,3.8
Julius Thomas,3,39,11.5,0,0,3.6
Nick O'Leary,1,34,18.2,0,0,3.6
Antonio Gates,2,24,10.3,0,0,3.2
George Kittle,2,27,10.0,0,0,3.2
Trey Burton,2,22,10.6,0,0,3.2
Luke Willson,2,20,10.0,0,0,3.2
David Njoku,2,20,9.7,0,0,3.2
Coby Fleener,2,27,10.2,0,0,3.2
Jeff Heuerman,2,23,11.1,0,0,2.6
Ryan Griffin,2,25,8.6,0,0,2.6
Eric Ebron,2,26,9.1,0,0,2.6
Darren Fells,1,14,8.9,0,0,2.2
Garrett Celek,1,16,9.2,0,0,2.2
Logan Thomas,2,19,9.8,0,0,2.2
Michael Hoomanawanui,1,15,9.0,0,0,2
Eric Tomlinson,1,12,9.3,0,0,1.6
Virgil Green,1,18,10.9,0,0,1.6
Benjamin Watson,2,19,8.7,0,0,1.6
Seth DeValve,1,18,10.5,0,0,1.6
Stephen Anderson,1,12,9.2,0,0,1.6
Adam Shaheen,1,10,10.5,0,0,1.6
Dion Sims,1,14,12.2,0,0,1.6
Demetrius Harris,1,15,8.8,0,0,1.6
Nick Boyle,1,10,8.3,0,0,1
Maxx Williams,1,10,7.2,0,0,0.6
Dwayne Allen,0,6,10.5,0,0,0.6
MarQueis Gray,0,2,13.0,0,0,0
Geoff Swaim,0,2,9.0,0,0,0
Henry Krieger-Coble,0,0,0.0,0,0,0
Will Tye,0,0,0.0,0,0,0
Jim Dray,0,2,7.7,0,0,0
Eric Saubert,0,2,13.5,0,0,0
Jordan Leggett,0,0,0.0,0,0,0
Gavin Escobar,0,0,0.0,0,0,0
Josh Hill,0,1,8.0,0,0,0
Chris Gragg,0,0,0.0,0,0,0
Evan Baylis,0,1,9.0,0,0,0
RaShaun Allen,0,0,0.0,0,0,0
Alan Cross,0,0,0.0,0,0,0
C.J. Uzomah,0,4,13.7,0,0,0
Jeremy Sprinkle,0,2,9.0,0,0,0
Matt Lengel,0,0,0.0,0,0,0
Levine Toilolo,0,1,16.0,0,0,0
Lee Smith,0,2,6.7,0,0,0
Jacob Hollister,0,2,9.0,0,0,0
Nick Vannett,0,2,8.0,0,0,0
David Morgan,0,1,9.5,0,0,0
Darrell Daniels,0,1,9.5,0,0,0
Niles Paul,0,2,10.0,0,0,0
Ross Travis,0,2,7.3,0,0,0
Brandon Williams,0,3,11.3,0,0,0
Sean McGrath,0,1,9.0,0,0,0
Anthony Fasano,0,3,10.0,0,0,0
Randall Telfer,0,2,7.0,0,0,0
Chris Manhertz,0,0,0.0,0,0,0
Clive Walford,0,4,9.6,0,0,0
Luke Stocker,0,1,6.0,0,0,0
Brent Celek,0,4,11.0,0,0,0
Logan Paulsen,0,0,0.0,0,0,0
Daniel Brown,0,2,8.0,0,0,0
Ryan Hewitt,0,2,12.5,0,0,0
Xavier Grimble,0,2,9.0,0,0,0
Michael Roberts,0,2,11.0,0,0,0
Khari Lee,0,1,9.0,0,0,0
Blake Bell,0,4,14.7,0,0,0
