Player,Recpt,Yd,Avg,TD,FL,FPTS
Rob Gronkowski,5,81,14.9,0,0,11.6
Evan Engram,5,71,12.5,0,0,10
Zach Ertz,6,64,10.8,0,0,9.4
Travis Kelce,5,62,11.9,0,0,8.4
Jimmy Graham,4,52,11.1,0,0,8
Vernon Davis,5,76,14.2,0,0,8
Delanie Walker,4,66,14.2,0,0,7.6
Jack Doyle,4,51,10.9,0,0,6.6
Tyler Kroft,3,43,11.1,0,0,6.4
Austin Hooper,3,47,12.1,0,0,6.4
Greg Olsen,3,51,14.2,0,0,6.2
Kyle Rudolph,4,41,9.3,0,0,5.8
Austin Seferian-Jenkins,4,43,9.5,0,0,5.6
Vance McDonald,2,36,15.4,0,0,5.4
Jesse James,3,34,10.1,0,0,5.4
Jared Cook,3,42,11.9,0,0,5
Marcedes Lewis,2,28,12.9,0,0,4.4
O.J. Howard,2,35,14.8,0,0,4.4
Jonnu Smith,2,26,12.7,0,0,4.4
Charles Clay,2,32,11.3,0,0,4.2
Cameron Brate,3,34,11.2,0,0,4.2
Hunter Henry,3,38,11.9,0,0,4.2
Benjamin Watson,3,31,9.0,0,0,4.2
Jason Witten,4,37,8.9,0,0,4
George Kittle,2,31,11.2,0,0,3.6
Julius Thomas,2,30,10.6,0,0,3.6
Ed Dickson,2,39,16.4,0,0,3.6
Antonio Gates,2,23,9.4,0,0,3.2
Ricky Seals-Jones,2,27,10.7,0,0,3.2
Virgil Green,2,21,10.4,0,0,3.2
Luke Willson,2,24,11.0,0,0,3.2
Garrett Celek,1,20,10.9,0,0,3.2
Tyler Higbee,1,22,12.2,0,0,2.6
Gerald Everett,1,22,14.2,0,0,2.6
Jermaine Gresham,2,24,10.4,0,0,2.6
Rhett Ellison,2,26,9.7,0,0,2.6
C.J. Fiedorowicz,2,22,10.1,0,0,2.6
Eric Ebron,2,29,10.8,0,0,2.6
Coby Fleener,2,27,11.1,0,0,2.6
Seth DeValve,1,21,11.1,0,0,2.4
Darren Fells,1,14,9.6,0,0,2.2
Adam Shaheen,1,14,10.2,0,0,2.2
David Njoku,1,17,9.7,0,0,2.2
Dwayne Allen,1,14,10.6,0,0,2.2
Michael Hoomanawanui,1,14,9.1,0,0,2
Eric Tomlinson,1,11,9.7,0,0,1.6
Trey Burton,1,15,9.7,0,0,1.6
Lance Kendricks,2,18,9.4,0,0,1.6
Jeff Heuerman,1,16,10.2,0,0,1.6
David Morgan,1,11,9.2,0,0,1.6
Jerell Adams,1,18,9.6,0,0,1.6
Stephen Anderson,1,17,10.8,0,0,1.6
Dion Sims,1,13,10.5,0,0,1.6
Demetrius Harris,1,17,9.4,0,0,1.6
Nick O'Leary,1,17,16.1,0,0,1.4
Josh Hill,1,18,9.6,0,0,1.2
Anthony Fasano,1,9,9.6,0,0,0.6
Nick Boyle,1,9,8.6,0,0,0.6
Maxx Williams,1,9,7.8,0,0,0.4
MarQueis Gray,0,2,10.5,0,0,0
Geoff Swaim,0,3,10.0,0,0,0
Neal Sterling,0,3,11.0,0,0,0
Ben Braunecker,0,0,6.0,0,0,0
Henry Krieger-Coble,0,0,0.0,0,0,0
Will Tye,0,0,0.0,0,0,0
Jim Dray,0,2,12.0,0,0,0
Eric Saubert,0,2,9.7,0,0,0
Jordan Leggett,0,0,0.0,0,0,0
Jeff Cumberland,0,0,0.0,0,0,0
Gavin Escobar,0,0,0.0,0,0,0
Chris Gragg,0,0,0.0,0,0,0
Evan Baylis,0,1,9.0,0,0,0
Richard Rodgers,1,7,7.7,0,0,0
RaShaun Allen,0,0,0.0,0,0,0
Ben Koyack,0,3,10.0,0,0,0
Alan Cross,0,0,0.0,0,0,0
C.J. Uzomah,0,3,12.3,0,0,0
Jeremy Sprinkle,0,2,9.7,0,0,0
Matt Lengel,0,0,0.0,0,0,0
Levine Toilolo,0,1,18.0,0,0,0
Lee Smith,0,2,7.3,0,0,0
Jacob Hollister,0,2,12.5,0,0,0
Austin Traylor,0,0,0.0,0,0,0
Nick Vannett,0,3,7.8,0,0,0
Darrell Daniels,0,1,8.5,0,0,0
Niles Paul,0,2,11.0,0,0,0
James O'Shaughnessy,0,1,8.0,0,0,0
Ross Travis,0,2,7.7,0,0,0
Brandon Williams,0,3,11.7,0,0,0
Sean McGrath,0,1,9.0,0,0,0
Phillip Supernaw,0,1,7.5,0,0,0
Ifeanyi Momah,0,2,25.0,0,0,0
A.J. Derby,0,0,0.0,0,0,0
Randall Telfer,0,1,9.5,0,0,0
Chris Manhertz,0,2,13.5,0,0,0
Clive Walford,0,4,10.0,0,0,0
Derek Carrier,0,2,8.0,0,0,0
Brent Celek,0,5,13.2,0,0,0
Logan Paulsen,0,0,7.0,0,0,0
Logan Thomas,0,2,13.0,0,0,0
Daniel Brown,0,2,10.5,0,0,0
Troy Niklas,0,2,8.3,0,0,0
Ryan Hewitt,0,2,11.5,0,0,0
Xavier Grimble,0,3,10.0,0,0,0
Michael Roberts,0,2,12.5,0,0,0
Khari Lee,0,1,8.0,0,0,0
Blake Bell,0,4,12.2,0,0,0
