Player,Att,Cmp,Yd,TD,INT,CmpPct,YAtt,Att,Yd,Avg,TD,FL,FPTS
Drew Brees,39,27,315,2,0,69.2,8.1,1,2,1.3,0,0,23.2
Cam Newton,32,19,235,1,1,59.6,7.1,6,34,5.3,0,0,21.6
Russell Wilson,35,22,249,1,1,62.0,7.0,5,35,6.2,0,0,21
Dak Prescott,30,21,240,1,0,68.3,7.8,3,20,6.0,0,0,20.8
Tom Brady,37,25,299,1,0,68.1,7.9,2,2,1.4,0,0,20.8
Philip Rivers,38,23,312,1,1,62.0,8.2,1,2,1.9,0,0,20
Aaron Rodgers,34,23,238,1,0,68.3,6.9,3,19,5.7,0,0,20
Blake Bortles,32,18,215,1,1,57.5,6.7,4,22,5.5,0,0,19.4
Ben Roethlisberger,39,24,301,1,1,63.7,7.7,1,3,1.7,0,0,19.2
Matthew Stafford,37,24,262,1,0,64.6,7.0,2,9,4.1,0,0,18
Blaine Gabbert,40,23,288,1,1,58.2,7.2,4,17,4.0,0,0,18
Kirk Cousins,34,21,243,1,1,63.5,7.1,2,7,2.9,0,0,17.8
Jimmy Garoppolo,36,22,252,1,0,61.7,7.0,2,2,0.9,0,0,17.4
Joe Flacco,39,26,235,1,1,67.5,6.0,1,3,2.4,0,0,17
Alex Smith,33,20,220,1,0,62.8,6.6,4,24,5.9,0,0,17
Case Keenum,32,22,225,1,0,68.3,7.0,1,4,4.1,0,0,16.8
Jared Goff,32,19,247,1,0,60.5,7.6,1,3,2.0,0,0,16.4
Derek Carr,36,24,244,1,0,67.3,6.7,1,3,2.0,0,0,16.4
Marcus Mariota,31,19,223,1,1,62.2,7.1,3,18,5.1,0,0,15.6
Tyrod Taylor,28,17,180,1,0,60.9,6.3,3,17,5.7,0,0,15.4
Trevor Siemian,32,19,239,1,0,59.4,7.4,1,6,3.5,0,0,14.6
Nick Foles,33,19,234,1,0,58.4,7.0,2,4,2.3,0,0,14
Jay Cutler,36,23,247,1,1,65.0,6.7,1,5,3.4,0,0,13.6
Jacoby Brissett,30,16,190,1,1,54.7,6.2,3,13,3.8,0,0,13.4
Mitchell Trubisky,27,17,185,0,0,62.8,6.8,3,21,6.1,0,0,13.2
Andy Dalton,31,19,201,1,0,60.7,6.3,2,7,2.7,0,0,12.4
DeShone Kizer,29,16,179,0,1,55.2,6.0,4,21,4.8,0,0,12.2
Eli Manning,35,20,199,1,1,58.0,5.6,1,2,2.0,0,0,10.4
Bryce Petty,24,14,153,0,1,57.8,6.1,1,6,5.3,0,0,8.6
T.J. Yates,30,16,168,0,2,54.6,5.5,2,16,6.4,0,0,8
Paxton Lynch,7,4,51,0,0,59.2,7.2,0,3,5.2,0,0,3.4
Teddy Bridgewater,1,1,12,0,0,70.6,7.1,0,0,3.6,0,0,0.6
Davis Webb,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Alex Tanney,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Chase Daniel,0,0,0,0,0,72.7,7.6,0,0,-0.4,0,0,0
Derek Anderson,0,0,0,0,0,52.8,3.0,0,0,-0.3,0,0,0
Geno Smith,0,0,0,0,0,100.0,7.0,0,0,4.2,0,0,0
Cooper Rush,0,0,0,0,0,64.7,6.4,0,0,4.6,0,0,0
C.J. Beathard,0,0,2,0,0,66.7,7.0,0,0,5.1,0,0,0
Austin Davis,0,0,0,0,0,57.4,3.0,0,0,3.0,0,0,0
Landry Jones,0,0,0,0,0,59.2,6.0,0,0,-0.9,0,0,0
Kevin Hogan,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Jameill Showers,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Ryan Nassib,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Jameis Winston,38,24,251,1,0,62.4,6.5,2,9,3.5,0,0,0
Mike Glennon,0,0,1,0,0,50.0,6.0,0,0,1.1,0,0,0
Nate Sudfeld,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Matt Barkley,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Brandon Weeden,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Connor Cook,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Sean Mannion,0,0,0,0,0,69.2,6.5,0,0,-1.4,0,0,0
Joshua Dobbs,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Jake Rudock,0,0,0,0,0,61.9,6.1,0,0,4.0,0,0,0
David Fales,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Cardale Jones,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Joe Callahan,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Matt Schaub,0,0,0,0,0,100.0,8.0,0,0,1.6,0,0,0
Brad Kaaya,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Kyle Sloter,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Drew Stanton,0,0,1,0,0,50.0,7.0,0,0,0.4,0,0,0
Jeff Driskel,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Chad Henne,0,0,0,0,0,43.8,5.1,0,0,-0.2,0,0,0
Joe Webb,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Josh Woodrum,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Scott Tolzien,0,0,0,0,0,100.0,6.0,0,0,0.5,0,0,0
Garrett Gilbert,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Kellen Clemens,0,0,0,0,0,69.7,5.6,0,0,-0.6,0,0,0
Brian Hoyer,0,0,2,0,0,66.7,7.0,0,0,1.1,0,0,0
Brett Hundley,0,0,1,0,0,66.7,6.3,0,0,7.1,0,0,0
Taysom Hill,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Matt Ryan,34,24,308,1,0,71.8,9.0,2,6,3.4,0,0,0
EJ Manuel,0,0,1,0,0,50.0,6.0,0,0,4.0,0,0,0
Josh Johnson,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Taylor Heinicke,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Ryan Mallett,0,0,0,0,0,50.0,4.5,0,0,-0.2,0,0,0
Matt Simms,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Ryan Fitzpatrick,0,0,2,0,0,50.0,5.7,0,0,4.8,0,0,0
Patrick Mahomes,0,0,0,0,0,64.7,6.6,0,0,5.0,0,0,0
Colt McCoy,0,0,0,0,0,60.6,7.2,0,0,0.5,0,0,0
AJ McCarron,0,0,1,0,0,50.0,5.0,0,0,1.6,0,0,0
Connor Shaw,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Nathan Peterman,0,0,0,0,0,58.1,4.0,0,0,2.8,0,0,0
Matt McGloin,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Brandon Allen,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Kellen Moore,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Mark Sanchez,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Brock Osweiler,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Ryan Griffin,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Matt Moore,0,0,2,0,0,66.7,7.0,0,0,2.7,0,0,0
Matt Cassel,0,0,1,0,0,50.0,7.5,0,0,4.0,0,0,0
Cody Kessler,1,0,10,0,0,52.9,6.1,0,0,4.0,0,0,-0.2
Christian Hackenberg,1,0,7,0,0,53.8,6.0,0,0,6.0,0,0,-0.2
