Player,Recpt,Yd,Avg,TD,FL,FPTS
Antonio Brown,8,136,15.8,0,0,17.6
Julio Jones,7,106,15.1,0,0,12.4
A.J. Green,5,82,14.4,0,0,11.4
DeAndre Hopkins,6,73,12.2,0,0,10
Doug Baldwin,6,75,12.7,0,0,9.4
Brandin Cooks,5,78,14.7,0,0,9.4
Emmanuel Sanders,5,71,13.7,0,0,9.2
Alshon Jeffery,5,69,13.0,0,0,9
Demaryius Thomas,6,74,12.3,0,0,9
Mike Evans,5,70,12.6,0,0,8.8
Keenan Allen,6,78,12.0,0,0,8.8
Stefon Diggs,5,62,12.2,0,0,8.4
Larry Fitzgerald,6,70,10.3,0,0,8.4
Paul Richardson,3,61,17.0,0,0,8.4
Devin Funchess,3,58,14.9,0,0,8
Jarvis Landry,6,64,10.1,0,0,7.6
Jeremy Maclin,4,56,11.6,0,0,7.4
Sammy Watkins,3,54,15.1,0,0,7.4
Josh Doctson,3,57,15.2,0,0,7.4
Amari Cooper,4,52,12.0,0,0,7.4
Mike Wallace,3,50,14.3,0,0,7.4
Dez Bryant,4,53,11.0,0,0,7.4
DeVante Parker,5,68,13.2,0,0,7.2
Adam Thielen,5,68,12.3,0,0,6.8
Danny Amendola,5,55,11.1,0,0,6.8
Tyreek Hill,4,54,12.7,0,0,6.8
T.Y. Hilton,4,57,14.5,0,0,6.6
Corey Davis,3,55,14.3,0,0,6.6
Golden Tate,5,53,10.4,0,0,6.6
Robby Anderson,3,48,12.7,0,0,6.4
Nelson Agholor,3,40,12.0,0,0,6.4
Marqise Lee,4,55,12.4,0,0,6.2
Michael Thomas,5,59,11.0,0,0,6.2
Kenny Stills,3,44,13.4,0,0,5.8
Eric Decker,3,48,13.6,0,0,5.8
Davante Adams,4,46,10.1,0,0,5.8
Jermaine Kearse,3,43,11.5,0,0,5.8
Mohamed Sanu,4,49,11.3,0,0,5.8
Jordy Nelson,4,41,9.5,0,0,5.8
Marvin Jones,3,46,13.2,0,0,5.8
Marquise Goodwin,2,51,21.2,0,0,5.6
Cooper Kupp,4,48,11.9,0,0,5.6
Donte Moncrief,2,39,14.0,0,0,5.4
DeSean Jackson,3,46,12.6,0,0,5.2
Brian Quick,2,41,15.3,0,0,5.2
Taylor Gabriel,3,41,13.3,0,0,5.2
Dede Westbrook,3,43,12.7,0,0,5.2
Martavis Bryant,2,44,15.7,0,0,5.2
Terrance Williams,3,44,11.9,0,0,5.2
Ted Ginn,3,41,12.5,0,0,5.2
Brandon LaFell,3,42,11.6,0,0,5.2
Roger Lewis,3,38,12.5,0,0,4.8
Justin Hardy,2,30,12.5,0,0,4.8
Torrey Smith,2,35,13.3,0,0,4.8
Jamison Crowder,4,49,11.0,0,0,4.8
Tyler Lockett,3,47,13.5,0,0,4.6
J.D. McKissic,2,21,8.5,0,0,4.6
Tyrell Williams,2,41,14.4,0,0,4.4
Corey Coleman,3,37,9.6,0,0,4.2
Deonte Thompson,2,33,15.1,0,0,4.2
Ryan Grant,2,32,11.2,0,0,4.2
Kenny Golladay,2,31,15.9,0,0,4.2
Russell Shepard,2,33,15.3,0,0,4.2
Jordan Matthews,3,36,12.1,0,0,4
Travis Benjamin,2,31,13.7,0,0,4
Cole Beasley,3,29,9.0,0,0,3.8
Tavon Austin,1,19,10.5,0,0,3.8
Travis Rudolph,2,36,13.0,0,0,3.6
Jaron Brown,2,32,13.3,0,0,3.6
Randall Cobb,4,37,8.7,0,0,3.6
Keelan Cole,2,30,14.3,0,0,3.6
Chester Rogers,2,33,14.1,0,0,3.6
Adam Humphries,3,35,9.7,0,0,3.4
Tavarres King,2,27,12.0,0,0,3.2
Marvin Hall,1,20,14.6,0,0,3.2
J.J. Nelson,1,31,16.5,0,0,3.2
Albert Wilson,2,29,11.2,0,0,3.2
Brice Butler,1,24,17.2,0,0,3.2
De'Anthony Thomas,1,20,11.9,0,0,3.2
Brandon Coleman,2,29,13.0,0,0,3.2
Seth Roberts,2,25,11.0,0,0,3
Mike Williams,2,22,11.3,0,0,2.6
Kendall Wright,2,27,11.5,0,0,2.6
Kamar Aiken,1,20,12.7,0,0,2.6
Tre McBride,1,27,18.1,0,0,2.6
Zay Jones,2,26,12.6,0,0,2.6
Cody Latimer,1,24,12.9,0,0,2.6
Aldrick Robinson,2,26,13.3,0,0,2.6
Tommylee Lewis,1,20,12.1,0,0,2.6
Mack Hollins,1,21,13.5,0,0,2.6
Laquon Treadwell,2,22,11.3,0,0,2.6
Chris Godwin,1,20,12.3,0,0,2.6
Kenny Britt,2,27,12.9,0,0,2.6
Taywan Taylor,1,24,16.3,0,0,2.6
Dontrelle Inman,1,22,12.1,0,0,2.6
T.J. Jones,2,27,13.0,0,0,2.6
Demarcus Robinson,1,20,11.9,0,0,2.6
Bruce Ellington,3,28,9.5,0,0,2.6
Alex Erickson,1,23,13.5,0,0,2.4
Eli Rogers,1,22,11.7,0,0,2.4
Trent Taylor,2,23,9.2,0,0,2.2
Cordarrelle Patterson,0,7,9.5,0,0,2.2
Pharoh Cooper,1,22,13.8,0,0,2.2
Josh Malone,1,18,13.0,0,0,2.2
Johnny Holton,1,14,11.0,0,0,2.2
Maurice Harris,1,17,13.8,0,0,2.2
Andre Holmes,1,16,12.8,0,0,2.2
Ricardo Louis,2,22,11.0,0,0,2
Josh Reynolds,1,19,14.0,0,0,1.6
Breshad Perriman,1,11,11.0,0,0,1.6
Michael Floyd,1,15,12.7,0,0,1.6
Braxton Miller,1,12,11.1,0,0,1.6
ArDarius Stewart,1,18,12.2,0,0,1.6
Bennie Fowler,1,13,12.4,0,0,1.6
Chad Williams,1,19,13.3,0,0,1.6
Markus Wheaton,1,14,12.7,0,0,1.4
Jarius Wright,1,18,11.4,0,0,1.4
Harry Douglas,1,16,14.5,0,0,1.4
Louis Murphy,1,17,15.7,0,0,1
Geronimo Allison,1,17,12.7,0,0,1
Rashard Higgins,1,16,8.8,0,0,1
Chris Moore,0,4,15.7,0,0,0.6
Justin Hunter,0,5,13.0,0,0,0.6
Brandon Tate,0,4,14.3,0,0,0.6
Willie Snead,1,16,11.8,0,0,0.6
Phillip Dorsett,0,7,14.8,0,0,0
Larry Pinkard,0,0,0.0,0,0,0
Mekale McKay,0,0,0.0,0,0,0
Stacy Coley,0,0,0.0,0,0,0
Kaelin Clay,0,2,14.0,0,0,0
Reggie Davis,0,2,13.5,0,0,0
Amara Darboh,0,4,10.5,0,0,0
Max McCaffrey,0,4,10.0,0,0,0
Matthew Slater,0,0,0.0,0,0,0
