Player,Att,Cmp,Yd,TD,INT,CmpPct,YAtt,Att,Yd,Avg,TD,FL,FPTS
Drew Brees,40,29,343,2,0,73.1,8.5,1,2,1.2,0,0,24.2
Russell Wilson,35,22,281,2,1,64.9,8.0,5,27,5.3,0,0,23.4
Dak Prescott,32,18,233,1,0,57.5,7.2,3,23,6.9,0,0,20.8
Alex Smith,33,23,240,1,0,70.9,7.3,4,20,4.9,0,0,20.6
Cam Newton,34,20,217,1,1,58.4,6.3,6,28,4.5,0,0,18
Matthew Stafford,38,24,269,1,0,64.9,7.0,2,10,5.0,0,0,17.8
Matt Ryan,33,23,269,1,0,69.3,8.1,2,7,3.5,0,0,17.2
Kirk Cousins,36,22,269,1,0,63.4,7.5,2,11,4.1,0,0,17.2
Marcus Mariota,31,17,206,1,1,56.5,6.5,3,21,5.7,0,0,17
Tyrod Taylor,29,18,200,1,0,60.8,6.8,6,27,4.3,0,0,16.6
Jared Goff,32,19,230,1,0,59.3,7.1,1,4,2.9,0,0,15.4
Jacoby Brissett,31,18,213,1,1,58.3,6.8,4,16,4.2,0,0,15.4
Derek Carr,37,24,234,1,0,65.7,6.3,1,5,3.3,0,0,15.4
Carson Wentz,35,19,199,1,1,55.4,5.7,4,17,3.7,0,0,15
Blake Bortles,30,17,183,1,1,56.9,6.0,3,22,5.9,0,0,14.8
Tom Savage,27,16,201,1,1,57.7,7.2,2,8,4.3,0,0,13.6
Eli Manning,35,22,212,1,1,61.8,5.9,1,2,2.4,0,0,13.2
Jay Cutler,33,21,221,1,1,63.1,6.6,1,6,4.0,0,0,13.2
Andy Dalton,32,20,197,1,0,62.3,6.1,3,9,3.1,0,0,12.4
Brett Hundley,27,17,176,1,1,63.7,6.3,2,17,7.2,0,0,12.4
Joe Flacco,37,22,208,1,1,60.6,5.5,1,1,1.9,0,0,12.2
Josh McCown,32,19,213,1,1,61.3,6.6,2,7,3.0,0,0,12.2
C.J. Beathard,31,16,168,1,1,54.0,5.4,2,14,5.1,0,0,10.8
Drew Stanton,29,16,206,0,1,55.9,6.9,1,2,2.2,0,0,9.4
Brock Osweiler,28,17,183,0,1,59.2,6.3,0,0,2.5,0,0,8.6
Trevor Siemian,5,3,34,0,0,59.3,6.3,0,0,3.0,0,0,1.2
Jimmy Garoppolo,3,1,17,0,0,54.5,5.4,0,0,2.0,0,0,0.4
Blaine Gabbert,3,1,22,0,0,56.2,6.9,0,2,4.4,0,0,0.2
Bryce Petty,0,0,1,0,0,50.0,6.0,0,0,2.9,0,0,0
Davis Webb,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Alex Tanney,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Chase Daniel,0,0,0,0,0,87.5,8.6,0,0,-0.2,0,0,0
T.J. Yates,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Derek Anderson,0,0,0,0,0,50.6,4.0,0,0,0.0,0,0,0
Geno Smith,0,0,0,0,0,100.0,5.0,0,0,9.8,0,0,0
Cooper Rush,0,0,0,0,0,55.6,5.9,0,0,6.0,0,0,0
Austin Davis,0,0,0,0,0,60.7,4.0,0,0,2.6,0,0,0
Jameill Showers,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Ryan Nassib,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Brandon Weeden,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Connor Cook,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Sean Mannion,0,0,0,0,0,62.5,6.3,0,0,-1.5,0,0,0
Jake Rudock,0,0,0,0,0,65.0,6.8,0,0,4.0,0,0,0
David Fales,0,0,0,0,0,53.6,5.5,0,0,2.5,0,0,0
Joe Callahan,0,0,0,0,0,62.5,6.4,0,0,6.0,0,0,0
Matt Schaub,0,0,0,0,0,100.0,7.0,0,0,1.4,0,0,0
Brad Kaaya,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Jeff Driskel,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Chad Henne,0,0,0,0,0,46.7,4.6,0,0,-0.2,0,0,0
Joe Webb,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Scott Tolzien,0,0,0,0,0,100.0,7.0,0,0,0.7,0,0,0
Christian Hackenberg,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Garrett Gilbert,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Nick Foles,0,0,1,0,0,50.0,6.5,0,0,0.1,0,0,0
Taysom Hill,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
EJ Manuel,0,0,1,0,0,50.0,6.0,0,0,4.3,0,0,0
Ryan Mallett,0,0,0,0,0,50.0,4.0,0,0,-0.2,0,0,0
Matt Simms,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Ryan Fitzpatrick,0,0,2,0,0,66.7,9.0,0,0,4.1,0,0,0
Patrick Mahomes,0,0,0,0,0,70.6,7.2,0,0,5.0,0,0,0
Colt McCoy,0,0,0,0,0,60.0,7.5,0,0,0.4,0,0,0
AJ McCarron,0,0,1,0,0,50.0,6.0,0,0,2.0,0,0,0
Nathan Peterman,0,0,0,0,0,60.0,6.7,0,0,3.0,0,0,0
Matt McGloin,0,0,0,0,0,57.4,5.3,0,0,-0.1,0,0,0
Brandon Allen,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Kellen Moore,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Ryan Griffin,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Matt Moore,0,0,1,0,0,66.7,6.0,0,0,-0.2,0,0,0
