Player,Recpt,Yd,Avg,TD,FL,FPTS
Rob Gronkowski,5,74,14.4,0,0,10
Kyle Rudolph,5,55,10.6,0,0,8.6
Greg Olsen,4,66,13.9,0,0,7.8
Jordan Reed,4,52,11.8,0,0,7.6
Travis Kelce,5,69,12.4,0,0,7.2
Zach Ertz,5,54,10.5,0,0,6.8
Jimmy Graham,3,53,14.1,0,0,6.6
Martellus Bennett,4,44,10.5,0,0,6.4
Tyler Eifert,4,47,12.0,0,0,6.4
C.J. Fiedorowicz,4,42,10.5,0,0,6.4
Delanie Walker,3,42,12.8,0,0,5.8
Eric Ebron,4,45,10.7,0,0,5.2
Coby Fleener,4,43,10.9,0,0,5.2
Jared Cook,3,44,12.0,0,0,5
Charles Clay,3,38,11.1,0,0,4.8
Jermaine Gresham,3,31,9.4,0,0,4.2
Jason Witten,3,37,10.2,0,0,4
Jack Doyle,3,36,9.7,0,0,4
Ryan Griffin,3,36,9.3,0,0,4
Vernon Davis,2,30,14.3,0,0,3.6
Jesse James,3,31,9.8,0,0,3.6
Vance McDonald,1,25,15.1,0,0,3.2
Zach Miller,1,20,10.8,0,0,3.2
Clive Walford,2,23,11.2,0,0,3.2
Dion Sims,2,24,9.2,0,0,3.2
Garrett Celek,2,29,11.8,0,0,3
Will Tye,1,22,11.7,0,0,2.6
Josh Hill,2,21,9.3,0,0,2.6
Trey Burton,2,21,9.3,0,0,2.6
Ed Dickson,1,20,12.0,0,0,2.6
Benjamin Watson,2,21,8.8,0,0,2.6
Randall Telfer,2,20,9.1,0,0,2.6
Nick Boyle,2,20,8.0,0,0,2.6
Maxx Williams,1,13,7.8,0,0,1.6
Lance Kendricks,1,10,10.9,0,0,1.6
Marcedes Lewis,2,17,8.5,0,0,1.6
Luke Willson,0,10,11.7,0,0,1.6
Demetrius Harris,2,19,9.3,0,0,1.6
Michael Hoomanawanui,0,2,5.8,0,0,0.6
Richard Rodgers,0,6,8.6,0,0,0.6
Levine Toilolo,0,9,11.4,0,0,0.6
Troy Niklas,0,1,7.5,0,0,0.6
Dwayne Allen,0,7,12.7,0,0,0.6
Geoff Swaim,0,3,10.7,0,0,0
Antonio Gates,2,26,10.3,0,0,0
Tyler Higbee,1,12,10.0,0,0,0
George Kittle,2,22,9.2,0,0,0
Eric Tomlinson,0,0,0.0,0,0,0
Eric Saubert,0,3,10.0,0,0,0
Hunter Henry,2,32,12.1,0,0,0
Jordan Leggett,0,2,13.0,0,0,0
Chris Gragg,0,0,0.0,0,0,0
RaShaun Allen,0,0,0.0,0,0,0
Ben Koyack,0,3,9.2,0,0,0
C.J. Uzomah,0,6,8.9,0,0,0
Jeremy Sprinkle,0,3,10.3,0,0,0
Matt Lengel,0,0,0.0,0,0,0
Gerald Everett,1,12,9.0,0,0,0
Lee Smith,0,2,5.0,0,0,0
Jacob Hollister,0,2,9.7,0,0,0
Jeff Heuerman,0,5,13.0,0,0,0
Tyler Kroft,0,2,9.0,0,0,0
Nick Vannett,0,2,9.7,0,0,0
David Morgan,0,2,8.0,0,0,0
Darrell Daniels,0,2,8.0,0,0,0
Niles Paul,0,2,12.5,0,0,0
Rhett Ellison,0,2,9.3,0,0,0
Virgil Green,1,22,12.2,0,0,0
James O'Shaughnessy,0,0,6.0,0,0,0
Ross Travis,0,2,7.0,0,0,0
Brandon Williams,0,1,14.0,0,0,0
Sean McGrath,0,1,12.0,0,0,0
Phillip Supernaw,0,1,19.0,0,0,0
Darren Fells,0,4,10.7,0,0,0
Ifeanyi Momah,0,3,12.0,0,0,0
A.J. Derby,2,28,10.4,0,0,0
Jerell Adams,0,4,8.6,0,0,0
Chris Manhertz,0,0,0.0,0,0,0
Seth DeValve,1,14,9.1,0,0,0
Austin Hooper,2,32,12.0,0,0,0
Derek Carrier,0,1,7.5,0,0,0
Stephen Anderson,0,2,7.7,0,0,0
Nick O'Leary,0,3,11.7,0,0,0
Evan Engram,4,39,8.8,0,0,0
Brent Celek,0,5,11.6,0,0,0
Jonnu Smith,1,18,11.2,0,0,0
Adam Shaheen,3,29,10.0,0,0,0
Logan Paulsen,0,1,8.5,0,0,0
David Njoku,2,21,8.8,0,0,0
Logan Thomas,0,2,10.0,0,0,0
Daniel Brown,0,5,7.6,0,0,0
Ryan Hewitt,0,1,8.5,0,0,0
Xavier Grimble,0,3,12.7,0,0,0
Michael Roberts,0,2,7.7,0,0,0
Khari Lee,0,1,8.5,0,0,0
Blake Bell,0,4,15.3,0,0,0
