Player,Recpt,Yd,Avg,TD,FL,FPTS
Jared Cook,5,74,14.0,0,0,8.6
Zach Ertz,5,64,10.9,0,0,8.2
Travis Kelce,5,67,12.1,0,0,7.8
Evan Engram,4,53,11.0,0,0,7.4
Delanie Walker,4,58,13.5,0,0,7.2
Vernon Davis,4,64,13.8,0,0,7
Marcedes Lewis,2,31,14.1,0,0,6.6
Hunter Henry,3,45,12.9,0,0,6.4
Jimmy Graham,4,45,10.8,0,0,6.2
Ed Dickson,3,51,15.9,0,0,6.2
Ricky Seals-Jones,3,40,12.2,0,0,5.8
Jason Witten,4,42,9.7,0,0,5.6
Austin Seferian-Jenkins,4,49,11.2,0,0,5.6
O.J. Howard,2,43,16.2,0,0,5.4
Kyle Rudolph,4,36,8.6,0,0,4.8
Jack Doyle,4,46,9.9,0,0,4.8
Austin Hooper,3,36,11.3,0,0,4.8
Jonnu Smith,1,22,12.0,0,0,4.4
Cameron Brate,3,38,12.0,0,0,4.2
Julius Thomas,3,30,10.0,0,0,4.2
Charles Clay,2,33,11.6,0,0,3.6
George Kittle,3,32,10.8,0,0,3.6
Michael Hoomanawanui,2,20,10.1,0,0,3.6
Antonio Gates,2,27,10.1,0,0,3.2
Lance Kendricks,2,27,11.3,0,0,3.2
Luke Willson,2,21,10.7,0,0,3.2
Benjamin Watson,3,28,8.2,0,0,3.2
David Njoku,2,24,10.2,0,0,3.2
Garrett Celek,2,21,9.8,0,0,3.2
Josh Hill,2,23,10.0,0,0,2.8
Adam Shaheen,1,15,11.4,0,0,2.8
Tyler Higbee,1,22,12.3,0,0,2.6
Jermaine Gresham,2,28,10.2,0,0,2.6
Rhett Ellison,2,20,8.7,0,0,2.6
C.J. Fiedorowicz,2,24,10.4,0,0,2.6
Eric Ebron,2,29,11.0,0,0,2.6
Jordan Reed,2,24,10.4,0,0,2.4
Darren Fells,1,14,9.7,0,0,2.2
Eric Tomlinson,1,12,11.4,0,0,1.6
Trey Burton,1,14,9.7,0,0,1.6
Richard Rodgers,1,11,9.2,0,0,1.6
Gerald Everett,1,19,12.7,0,0,1.6
Jeff Heuerman,1,13,9.2,0,0,1.6
David Morgan,1,10,8.7,0,0,1.6
Virgil Green,1,18,9.7,0,0,1.6
Jerell Adams,1,14,8.8,0,0,1.6
Stephen Anderson,1,18,11.4,0,0,1.6
Dion Sims,1,15,11.2,0,0,1.6
Dwayne Allen,0,10,11.2,0,0,1.6
Demetrius Harris,2,19,9.5,0,0,1.6
Nick O'Leary,1,17,14.3,0,0,1.4
Anthony Fasano,1,8,8.9,0,0,0.6
Luke Stocker,0,2,6.8,0,0,0.6
Nick Boyle,1,8,7.5,0,0,0.6
Maxx Williams,1,8,7.5,0,0,0.4
MarQueis Gray,0,1,9.0,0,0,0
Geoff Swaim,0,3,11.0,0,0,0
Neal Sterling,0,3,9.5,0,0,0
Ben Braunecker,0,0,7.0,0,0,0
Henry Krieger-Coble,0,0,0.0,0,0,0
Will Tye,0,0,0.0,0,0,0
Jim Dray,0,2,9.3,0,0,0
Eric Saubert,0,2,12.0,0,0,0
Jordan Leggett,0,0,0.0,0,0,0
Jeff Cumberland,0,0,0.0,0,0,0
Gavin Escobar,0,0,0.0,0,0,0
Chris Gragg,0,0,0.0,0,0,0
Evan Baylis,0,2,10.5,0,0,0
RaShaun Allen,0,0,0.0,0,0,0
Ben Koyack,0,3,11.3,0,0,0
Alan Cross,0,0,0.0,0,0,0
C.J. Uzomah,0,2,9.3,0,0,0
Jeremy Sprinkle,0,3,10.0,0,0,0
Matt Lengel,0,0,0.0,0,0,0
Levine Toilolo,0,1,15.0,0,0,0
Lee Smith,0,2,9.0,0,0,0
Jacob Hollister,0,2,11.0,0,0,0
Tyler Kroft,3,33,10.1,0,0,0
Austin Traylor,0,0,0.0,0,0,0
Jesse James,3,28,9.5,0,0,0
Nick Vannett,0,3,8.2,0,0,0
Niles Paul,0,2,9.0,0,0,0
James O'Shaughnessy,0,1,9.5,0,0,0
Brandon Williams,0,3,10.3,0,0,0
Sean McGrath,0,1,9.5,0,0,0
Phillip Supernaw,0,1,12.0,0,0,0
Ifeanyi Momah,0,3,30.0,0,0,0
Randall Telfer,0,2,10.5,0,0,0
Chris Manhertz,0,2,13.0,0,0,0
Seth DeValve,0,6,12.6,0,0,0
Clive Walford,0,4,12.0,0,0,0
Derek Carrier,0,2,7.7,0,0,0
Brent Celek,0,5,12.5,0,0,0
Logan Paulsen,0,0,8.0,0,0,0
Logan Thomas,0,2,13.5,0,0,0
Daniel Brown,0,2,13.0,0,0,0
Troy Niklas,0,3,8.8,0,0,0
Ryan Hewitt,0,2,10.0,0,0,0
Xavier Grimble,0,10,11.1,0,0,0
Michael Roberts,0,2,13.0,0,0,0
Khari Lee,0,1,8.5,0,0,0
Blake Bell,0,4,14.3,0,0,0
