Player,Recpt,Yd,Avg,TD,FL,FPTS
Julio Jones,7,107,14.5,0,0,12.4
Antonio Brown,6,91,14.2,0,0,12
A.J. Green,6,95,14.6,0,0,11.4
Mike Evans,6,88,13.7,0,0,11
Kelvin Benjamin,5,81,16.0,0,0,10.8
Jordy Nelson,6,70,11.6,0,0,10.4
Michael Crabtree,5,69,11.8,0,0,9.6
Jarvis Landry,7,81,11.2,0,0,9.6
T.Y. Hilton,5,80,14.2,0,0,9.6
Doug Baldwin,6,74,12.0,0,0,9.4
Amari Cooper,6,78,13.0,0,0,9.4
Emmanuel Sanders,5,74,13.3,0,0,9.4
Tyreek Hill,4,54,11.2,0,0,9.4
Davante Adams,5,65,11.7,0,0,9
Keenan Allen,5,70,12.2,0,0,9
Terrelle Pryor,5,72,14.4,0,0,8.8
DeVante Parker,5,73,14.7,0,0,8.8
Michael Thomas,6,70,10.7,0,0,8.8
Odell Beckham,5,72,12.9,0,0,8.6
Demaryius Thomas,6,76,12.3,0,0,8.6
Brandin Cooks,4,62,13.8,0,0,8.4
Pierre Garcon,5,62,11.6,0,0,7.8
Alshon Jeffery,5,62,11.7,0,0,7.8
DeAndre Hopkins,5,61,11.7,0,0,7.8
Kenny Stills,2,51,18.5,0,0,7.4
Martavis Bryant,2,51,17.8,0,0,7.4
Devin Funchess,3,53,17.3,0,0,7.4
Stefon Diggs,5,53,10.8,0,0,6.8
Sammy Watkins,4,59,14.1,0,0,6.8
Mohamed Sanu,4,50,10.8,0,0,6.6
Rishard Matthews,3,55,14.2,0,0,6.6
Ted Ginn,5,55,10.2,0,0,6.6
Golden Tate,6,56,9.3,0,0,6.6
Allen Hurns,4,49,12.1,0,0,6.4
Kenny Golladay,3,44,11.3,0,0,6.4
Donte Moncrief,3,47,12.2,0,0,6.4
Jamison Crowder,4,53,12.0,0,0,6.4
DeSean Jackson,3,50,14.1,0,0,6.2
Tyrell Williams,3,53,15.3,0,0,6.2
Tyler Lockett,3,50,13.5,0,0,6.2
Jeremy Maclin,4,43,10.8,0,0,5.8
Adam Thielen,4,51,11.9,0,0,5.8
Eric Decker,3,41,11.8,0,0,5.8
Cooper Kupp,3,45,13.5,0,0,5.8
Jermaine Kearse,4,48,11.6,0,0,5.8
Brandon LaFell,3,47,12.9,0,0,5.8
Chris Hogan,3,47,15.4,0,0,5.6
Taylor Gabriel,3,40,13.2,0,0,5.2
Chris Godwin,3,41,13.5,0,0,5.2
Geronimo Allison,3,41,11.8,0,0,5.2
Marqise Lee,4,48,11.8,0,0,5
Robby Anderson,3,42,12.9,0,0,5
Kenny Britt,3,48,16.1,0,0,5
Paul Richardson,2,36,14.7,0,0,4.8
Russell Shepard,1,32,17.3,0,0,4.8
Marvin Jones,2,38,13.2,0,0,4.8
Kendall Wright,3,43,11.6,0,0,4.6
Mike Wallace,3,40,12.3,0,0,4.6
Rashard Higgins,3,42,12.9,0,0,4.6
Seth Roberts,2,28,11.6,0,0,4.4
