Player,Att,Cmp,Yd,TD,INT,CmpPct,YAtt,Att,Yd,Avg,TD,FL,FPTS
Tom Brady,38,26,325,1,0,68.4,8.4,2,4,1.9,0,0,23.2
Aaron Rodgers,41,29,287,1,0,69.5,6.8,3,23,5.9,0,0,22.8
Dak Prescott,31,20,249,1,0,66.1,8.0,3,19,6.0,0,0,21.4
Jameis Winston,37,24,316,1,0,64.2,8.4,2,10,3.6,0,0,21.4
Jacoby Brissett,32,19,252,1,0,61.0,7.8,3,17,5.5,0,0,19.2
Eli Manning,37,23,250,1,1,61.1,6.6,1,2,2.2,0,0,18.4
Russell Wilson,34,21,252,1,1,64.4,7.4,5,24,4.7,0,0,18.4
Cam Newton,33,21,248,1,1,64.5,7.5,5,22,4.3,0,0,18.2
Matthew Stafford,35,24,221,1,0,67.3,6.2,2,11,4.7,0,0,17
Ben Roethlisberger,35,22,239,1,1,63.4,6.7,1,2,1.4,0,0,17
Alex Smith,30,20,212,1,0,65.4,6.9,4,16,4.2,0,0,16.4
Josh McCown,36,23,254,1,1,63.9,7.1,2,10,3.6,0,0,16.2
Carson Wentz,37,22,216,1,0,59.8,5.7,3,13,3.4,0,0,16.2
Philip Rivers,39,24,275,1,1,61.4,7.0,0,1,2.1,0,0,16
Sam Bradford,33,22,241,1,0,67.7,7.3,1,2,1.4,0,0,16
Brian Hoyer,33,20,237,1,0,61.4,7.0,1,2,2.4,0,0,15.8
Tyrod Taylor,28,17,175,0,0,62.3,6.2,6,31,4.6,0,0,14.8
Mitchell Trubisky,36,23,233,1,1,64.0,6.4,2,11,4.6,0,0,14.2
Deshaun Watson,34,19,219,1,1,56.0,6.3,4,27,6.5,0,0,14.2
Jay Cutler,31,19,219,1,1,62.1,6.9,1,6,4.2,0,0,14.2
Jared Goff,32,20,227,1,0,63.0,7.0,1,1,1.3,0,0,14
Carson Palmer,40,23,280,1,1,57.2,6.8,1,2,1.8,0,0,14
Andy Dalton,32,20,221,1,1,61.5,6.8,2,10,3.6,0,0,13.6
Joe Flacco,38,24,241,1,1,62.1,6.2,1,2,2.4,0,0,13
EJ Manuel,35,20,206,1,1,58.8,5.9,1,3,2.6,0,0,13
Matt Cassel,33,21,233,1,1,62.7,6.9,1,4,4.1,0,0,12.2
Blake Bortles,31,18,168,1,0,58.1,5.3,4,27,6.5,0,0,12
DeShone Kizer,31,16,174,0,1,53.2,5.6,6,28,4.6,0,0,10
Bryce Petty,0,0,1,0,0,50.0,7.5,0,0,3.4,0,0,0
Davis Webb,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Alex Tanney,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
