Player,Recpt,Yd,Avg,TD,FL,FPTS
Rob Gronkowski,5,72,13.4,0,0,10.6
Evan Engram,5,62,11.6,0,0,7.8
Travis Kelce,5,69,12.2,0,0,7.6
Austin Hooper,3,53,14.8,0,0,6.8
Kyle Rudolph,4,46,10.4,0,0,6.4
Delanie Walker,4,48,12.0,0,0,5.8
Cameron Brate,3,43,12.8,0,0,5.8
Jason Witten,4,45,10.6,0,0,5.6
Austin Seferian-Jenkins,4,41,9.2,0,0,5.4
Ed Dickson,2,47,17.5,0,0,5.2
Benjamin Watson,4,43,8.9,0,0,5.2
Jared Cook,3,40,11.9,0,0,5
Jimmy Graham,4,46,11.0,0,0,5
Jack Doyle,4,42,10.2,0,0,4.8
Hunter Henry,2,30,11.3,0,0,4.8
Tyler Kroft,4,37,9.4,0,0,4.8
Zach Miller,2,31,11.8,0,0,4.8
A.J. Derby,3,36,12.1,0,0,4.6
Marcedes Lewis,2,27,12.9,0,0,4.4
Jonnu Smith,2,27,10.5,0,0,4.4
Martellus Bennett,3,32,9.7,0,0,4.2
Coby Fleener,3,37,10.8,0,0,4.2
Jesse James,3,28,8.5,0,0,3.8
Nick O'Leary,2,33,15.9,0,0,3.6
George Kittle,3,29,9.1,0,0,3.2
Gerald Everett,1,21,13.2,0,0,3.2
Jeff Heuerman,2,24,10.3,0,0,3.2
Rhett Ellison,2,26,9.3,0,0,3.2
Luke Willson,2,21,10.7,0,0,3.2
Demetrius Harris,2,21,9.8,0,0,3.2
Tyler Higbee,1,24,14.1,0,0,2.6
Julius Thomas,2,26,10.0,0,0,2.6
Jermaine Gresham,3,29,9.9,0,0,2.6
Virgil Green,1,20,10.7,0,0,2.6
Phillip Supernaw,1,20,10.6,0,0,2.6
O.J. Howard,2,24,11.6,0,0,2.6
Nick Boyle,2,22,8.5,0,0,2.6
Antonio Gates,2,19,9.1,0,0,2.2
Adam Shaheen,1,12,8.9,0,0,2.2
David Njoku,1,16,8.7,0,0,2.2
Garrett Celek,1,17,8.9,0,0,2.2
Dion Sims,1,17,10.9,0,0,2.2
Michael Hoomanawanui,2,19,9.5,0,0,2
Jerell Adams,2,19,9.8,0,0,1.6
Seth DeValve,1,17,11.0,0,0,1.6
Vance McDonald,0,6,13.8,0,0,0.6
Lance Kendricks,0,9,12.0,0,0,0.6
Logan Thomas,0,7,9.8,0,0,0.6
Troy Niklas,0,9,10.3,0,0,0.6
Dwayne Allen,0,6,10.3,0,0,0.6
MarQueis Gray,0,2,11.0,0,0,0
Geoff Swaim,0,3,12.0,0,0,0
Neal Sterling,0,3,11.7,0,0,0
Henry Krieger-Coble,0,0,0.0,0,0,0
Will Tye,0,0,0.0,0,0,0
Eric Tomlinson,0,0,0.0,0,0,0
Jim Dray,0,2,7.7,0,0,0
Eric Saubert,0,2,14.0,0,0,0
Jordan Leggett,0,0,0.0,0,0,0
Vernon Davis,2,44,15.3,0,0,0
Josh Hill,0,1,9.0,0,0,0
Trey Burton,2,21,9.3,0,0,0
Chris Gragg,0,0,0.0,0,0,0
Richard Rodgers,0,2,9.0,0,0,0
Ben Koyack,0,4,13.7,0,0,0
Alan Cross,0,0,0.0,0,0,0
C.J. Uzomah,0,3,8.5,0,0,0
Jeremy Sprinkle,0,3,10.0,0,0,0
Matt Lengel,0,0,0.0,0,0,0
Levine Toilolo,0,1,17.0,0,0,0
Lee Smith,0,1,9.5,0,0,0
Jacob Hollister,0,2,8.7,0,0,0
Nick Vannett,0,2,8.3,0,0,0
David Morgan,0,1,8.0,0,0,0
Darrell Daniels,0,1,9.5,0,0,0
Niles Paul,0,0,4.5,0,0,0
James O'Shaughnessy,0,2,11.5,0,0,0
Ross Travis,0,3,12.0,0,0,0
Brandon Williams,0,3,12.0,0,0,0
Sean McGrath,0,1,14.0,0,0,0
Zach Ertz,6,64,10.7,0,0,0
Ifeanyi Momah,0,4,22.5,0,0,0
Anthony Fasano,0,2,8.3,0,0,0
Randall Telfer,0,1,9.5,0,0,0
Chris Manhertz,0,0,0.0,0,0,0
Clive Walford,0,4,11.2,0,0,0
Derek Carrier,0,2,12.0,0,0,0
Luke Stocker,0,1,6.3,0,0,0
Brent Celek,0,4,12.0,0,0,0
Jordan Reed,4,52,11.0,0,0,0
Logan Paulsen,0,1,8.5,0,0,0
Daniel Brown,0,2,8.0,0,0,0
Ryan Hewitt,0,2,10.5,0,0,0
Xavier Grimble,0,2,10.5,0,0,0
Khari Lee,0,1,9.5,0,0,0
Blake Bell,0,3,12.7,0,0,0
