Player,Att,Cmp,Yd,TD,INT,CmpPct,YAtt,Att,Yd,Avg,TD,FL,FPTS
Cam Newton,33,20,281,1,0,60.4,8.3,5,24,4.3,0,0,24.6
Aaron Rodgers,41,27,274,2,0,65.0,6.6,4,26,6.1,0,0,23
Matt Ryan,33,25,305,1,0,75.8,9.0,2,6,3.1,0,0,21
Tom Brady,38,22,265,1,0,58.9,6.9,2,5,1.9,0,0,20.2
Derek Carr,37,24,270,1,0,66.1,7.3,2,4,2.1,0,0,20
Alex Smith,33,22,239,1,0,66.3,7.2,3,15,3.8,0,0,19.8
Ben Roethlisberger,34,22,275,1,0,65.5,8.0,1,2,1.4,0,0,19.4
Jameis Winston,40,25,295,1,1,62.9,7.3,2,10,3.5,0,0,18.6
Russell Wilson,35,22,260,1,1,62.6,7.4,5,22,4.4,0,0,18.6
Matthew Stafford,36,24,220,1,0,66.7,6.1,2,15,6.1,0,0,18.2
Philip Rivers,36,21,268,1,1,58.3,7.3,0,1,2.1,0,0,17.6
Drew Brees,42,30,277,1,0,72.1,6.5,1,1,1.4,0,0,17.4
Jacoby Brissett,35,20,232,1,0,57.3,6.5,2,14,4.9,0,0,17
Trevor Siemian,36,21,250,1,1,59.9,6.9,2,6,2.4,0,0,16.6
Jay Cutler,31,21,250,1,0,66.5,7.9,1,5,3.4,0,0,16.4
Kirk Cousins,37,22,258,1,1,58.8,6.9,2,7,3.2,0,0,16.4
Marcus Mariota,32,19,226,1,0,61.2,7.0,3,18,5.2,0,0,16.4
Carson Wentz,39,23,231,1,1,59.4,5.9,3,14,4.2,0,0,15.8
DeShone Kizer,34,20,254,1,1,60.8,7.4,5,26,5.1,0,0,15.6
Josh McCown,35,21,219,1,0,59.5,6.2,3,16,5.5,0,0,14
Tyrod Taylor,27,15,149,1,0,55.5,5.5,6,35,5.4,0,0,14
Jared Goff,30,18,220,1,0,61.2,7.1,1,2,1.5,0,0,14
Joe Flacco,36,22,214,1,1,62.2,5.8,1,2,2.3,0,0,13.4
Andy Dalton,32,20,242,1,0,61.7,7.5,2,8,3.4,0,0,13.4
Eli Manning,38,23,248,1,1,62.6,6.5,1,1,1.5,0,0,12.2
Blake Bortles,31,17,179,1,1,54.9,5.6,4,23,5.3,0,0,12.2
Deshaun Watson,30,17,162,0,0,58.2,5.3,3,21,6.3,0,0,11.6
Brian Hoyer,31,20,189,1,0,64.3,6.1,1,2,1.9,0,0,11.4
Case Keenum,30,19,191,0,1,65.7,6.4,1,3,2.0,0,0,10.2
Mike Glennon,34,20,210,0,1,60.7,6.2,1,6,4.2,0,0,9.6
Bryce Petty,0,0,1,0,0,50.0,6.5,0,0,3.1,0,0,0
Davis Webb,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Alex Tanney,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Chase Daniel,0,0,0,0,0,83.3,7.9,0,0,0.0,0,0,0
T.J. Yates,0,0,0,0,0,52.1,4.0,0,0,0.4,0,0,0
Derek Anderson,0,0,0,0,0,100.0,9.0,0,0,0.7,0,0,0
Geno Smith,0,0,0,0,0,66.2,5.0,0,0,7.0,0,0,0
Cooper Rush,0,0,0,0,0,61.1,6.4,0,0,6.0,0,0,0
Cody Kessler,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
C.J. Beathard,0,0,0,0,0,64.7,6.2,0,0,7.0,0,0,0
Austin Davis,0,0,0,0,0,100.0,8.0,0,0,4.9,0,0,0
Landry Jones,0,0,0,0,0,100.0,8.0,0,0,-0.8,0,0,0
Mitchell Trubisky,0,0,4,0,0,57.1,6.4,0,0,4.4,0,0,0
Dak Prescott,33,21,223,1,0,64.2,6.7,3,15,4.5,0,0,0
Kevin Hogan,0,0,0,0,0,60.7,5.0,0,0,10.6,0,0,0
Jameill Showers,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Ryan Nassib,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Tom Savage,0,0,0,0,0,100.0,5.0,0,0,2.6,0,0,0
Connor Cook,0,0,0,0,0,100.0,7.0,0,0,5.0,0,0,0
Jimmy Garoppolo,0,0,0,0,0,54.5,3.0,0,0,-0.5,0,0,0
Sean Mannion,0,0,0,0,0,59.1,5.7,0,0,-2.8,0,0,0
Joshua Dobbs,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Jake Rudock,0,0,0,0,0,66.7,6.2,0,0,5.0,0,0,0
Cardale Jones,0,0,0,0,0,60.6,8.9,0,0,1.0,0,0,0
Matt Schaub,0,0,0,0,0,70.8,4.0,0,0,0.8,0,0,0
Brad Kaaya,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Kyle Sloter,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Drew Stanton,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Jeff Driskel,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Chad Henne,0,0,0,0,0,57.1,5.6,0,0,0.7,0,0,0
Joe Webb,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Josh Woodrum,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Scott Tolzien,0,0,0,0,0,100.0,7.0,0,0,0.8,0,0,0
Christian Hackenberg,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Nick Foles,0,0,2,0,0,66.7,7.0,0,0,0.2,0,0,0
Kellen Clemens,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Brett Hundley,0,0,0,0,0,40.9,4.0,0,0,3.4,0,0,0
Taysom Hill,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
EJ Manuel,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Taylor Heinicke,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Ryan Mallett,0,0,0,0,0,100.0,5.0,0,0,-0.1,0,0,0
Matt Simms,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Ryan Fitzpatrick,0,0,2,0,0,66.7,7.7,0,0,3.3,0,0,0
Patrick Mahomes,0,0,0,0,0,64.7,7.3,0,0,5.0,0,0,0
Carson Palmer,40,25,264,1,1,62.3,6.5,1,2,2.0,0,0,0
Colt McCoy,0,0,0,0,0,54.1,6.9,0,0,0.5,0,0,0
AJ McCarron,0,0,1,0,0,50.0,7.5,0,0,2.1,0,0,0
Connor Shaw,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Nathan Peterman,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Brandon Allen,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Kellen Moore,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Mark Sanchez,0,0,0,0,0,58.0,4.0,0,0,1.2,0,0,0
Brock Osweiler,0,0,2,0,0,50.0,6.5,0,0,4.2,0,0,0
Ryan Griffin,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Blaine Gabbert,0,0,2,0,0,75.0,6.8,0,0,3.0,0,0,0
Matt Moore,0,0,1,0,0,50.0,7.5,0,0,0.5,0,0,0
Matt Cassel,0,0,1,0,0,50.0,7.0,0,0,2.9,0,0,0
