Player,Att,Cmp,Yd,TD,INT,CmpPct,YAtt,Att,Yd,Avg,TD,FL,FPTS
Aaron Rodgers,39,25,272,1,0,63.8,6.9,4,21,5.2,0,0,23
Cam Newton,34,20,273,1,0,58.7,7.8,5,26,4.7,0,0,22.6
Matt Ryan,32,22,293,2,0,68.8,9.0,2,6,3.2,0,0,21.8
Kirk Cousins,37,24,302,1,1,63.6,8.0,2,5,2.8,0,0,21.8
Tyrod Taylor,29,17,197,1,0,58.4,6.8,6,36,5.6,0,0,20.6
Tom Brady,37,22,284,1,0,60.7,7.5,2,5,2.2,0,0,20.6
Ben Roethlisberger,37,24,297,1,0,64.9,7.9,1,2,1.8,0,0,20.4
Carson Palmer,39,26,284,1,1,68.3,7.2,1,2,2.2,0,0,19.2
Sam Bradford,35,24,259,1,0,71.1,7.4,1,3,2.6,0,0,19
Derek Carr,38,23,261,1,0,62.1,6.8,2,5,2.2,0,0,19
Marcus Mariota,33,18,235,1,1,55.0,7.1,3,22,6.2,0,0,18.2
Drew Brees,43,29,291,1,1,68.7,6.7,1,2,1.5,0,0,17.8
Andy Dalton,33,22,242,1,0,65.2,7.1,3,11,3.2,0,0,17.6
Matthew Stafford,35,22,226,1,0,62.9,6.3,2,11,4.6,0,0,17.4
Russell Wilson,32,20,260,1,1,63.3,8.0,4,20,4.5,0,0,17
Joe Flacco,44,30,275,1,1,68.5,6.2,1,3,2.5,0,0,15.8
Eli Manning,39,26,254,1,0,66.9,6.5,1,1,1.5,0,0,15.8
Josh McCown,34,19,243,1,1,56.0,7.1,2,11,5.0,0,0,14.8
Blake Bortles,32,17,182,1,1,55.3,5.7,3,21,6.3,0,0,13.8
Mike Glennon,34,20,219,1,1,60.7,6.4,2,11,5.2,0,0,13
Scott Tolzien,34,21,216,1,1,62.2,6.3,2,5,2.6,0,0,12.4
Alex Smith,30,19,194,0,0,64.5,6.4,3,13,3.6,0,0,11.4
Chad Henne,3,1,18,0,0,52.9,5.5,0,0,4.5,0,0,0.4
Davis Webb,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Alex Tanney,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Chase Daniel,0,0,0,0,0,83.3,8.3,0,0,0.0,0,0,0
T.J. Yates,0,0,0,0,0,55.1,5.0,0,0,0.4,0,0,0
Derek Anderson,0,0,0,0,0,100.0,9.0,0,0,0.8,0,0,0
Geno Smith,0,0,0,0,0,70.1,5.0,0,0,8.0,0,0,0
Cooper Rush,0,0,0,0,0,64.7,7.3,0,0,6.0,0,0,0
Cody Kessler,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
C.J. Beathard,0,0,0,0,0,64.7,6.6,0,0,6.0,0,0,0
Austin Davis,0,0,0,0,0,100.0,8.0,0,0,5.2,0,0,0
Landry Jones,0,0,0,0,0,100.0,9.0,0,0,-0.7,0,0,0
Mitchell Trubisky,0,0,4,0,0,57.1,6.6,0,0,5.2,0,0,0
Dak Prescott,32,20,238,1,0,64.2,7.3,3,16,4.6,0,0,0
Kevin Hogan,0,0,0,0,0,60.5,5.0,0,0,10.6,0,0,0
Trevor Siemian,35,19,223,1,1,54.0,6.3,2,4,2.0,0,0,0
Jameill Showers,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Philip Rivers,36,20,233,1,1,56.9,6.4,0,1,2.0,0,0,0
Tom Savage,29,16,161,1,0,57.7,5.5,2,6,3.0,0,0,0
Deshaun Watson,5,3,28,0,0,56.6,5.4,0,1,3.2,0,0,0
Connor Cook,0,0,0,0,0,100.0,7.0,0,0,4.0,0,0,0
Jimmy Garoppolo,0,0,0,0,0,100.0,8.0,0,0,0.5,0,0,0
Sean Mannion,0,0,0,0,0,55.2,5.1,0,0,0.3,0,0,0
Joshua Dobbs,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Jared Goff,31,18,199,1,1,58.3,6.2,1,3,2.8,0,0,0
Jake Rudock,0,0,0,0,0,61.1,6.4,0,0,4.0,0,0,0
Cardale Jones,0,0,0,0,0,62.5,8.1,0,0,1.0,0,0,0
Matt Schaub,0,0,0,0,0,64.5,4.0,0,0,0.8,0,0,0
Brad Kaaya,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Drew Stanton,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Jeff Driskel,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Joe Webb,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Josh Woodrum,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
DeShone Kizer,33,20,208,0,1,59.7,6.2,3,14,4.1,0,0,0
Christian Hackenberg,0,0,0,0,0,57.9,7.2,0,0,6.0,0,0,0
Nick Foles,0,0,2,0,0,50.0,5.5,0,0,0.3,0,0,0
Kellen Clemens,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Brian Hoyer,30,19,200,1,0,62.6,6.6,1,2,1.5,0,0,0
Brett Hundley,0,0,0,0,0,42.9,4.1,0,0,2.6,0,0,0
Taysom Hill,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Jacoby Brissett,0,0,0,0,0,100.0,7.0,0,0,4.1,0,0,0
EJ Manuel,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Taylor Heinicke,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Carson Wentz,39,25,252,1,0,64.3,6.4,2,10,3.5,0,0,0
Ryan Mallett,0,0,0,0,0,100.0,7.0,0,0,-0.2,0,0,0
Matt Simms,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Patrick Mahomes,1,1,9,0,0,62.5,6.2,0,0,5.0,0,0,0
