Player,Att,Cmp,Yd,TD,INT,CmpPct,YAtt,Att,Yd,Avg,TD,FL,FPTS
Matthew Stafford,39,26,291,2,0,67.1,7.4,2,9,4.4,0,0,22.2
Ben Roethlisberger,36,23,330,1,1,63.8,9.0,1,2,1.4,0,0,20.8
Tom Brady,40,24,273,1,0,61.3,6.8,2,4,1.8,0,0,20.2
Dak Prescott,31,20,217,1,0,65.5,6.9,3,21,6.6,0,0,19.8
Tyrod Taylor,29,18,200,1,0,62.2,6.8,6,37,5.6,0,0,19.6
Russell Wilson,38,23,276,1,1,61.2,7.2,5,24,4.3,0,0,19
Matt Ryan,34,24,281,1,0,70.4,8.1,2,7,3.8,0,0,18.8
Drew Brees,40,28,298,1,0,69.4,7.4,2,2,1.1,0,0,18.6
Jared Goff,33,19,249,1,1,57.1,7.5,1,4,2.9,0,0,17.6
Eli Manning,38,23,255,1,0,62.0,6.6,1,2,2.5,0,0,16.8
Marcus Mariota,32,19,208,1,1,60.0,6.5,3,20,5.5,0,0,16.8
Josh McCown,34,23,251,1,1,67.5,7.3,2,8,3.1,0,0,16.4
Kirk Cousins,36,23,261,1,0,65.3,7.1,2,9,3.8,0,0,16.4
Blake Bortles,30,17,184,1,1,56.8,6.1,4,24,6.0,0,0,15.8
Ryan Fitzpatrick,36,21,241,1,1,57.4,6.6,2,10,4.0,0,0,14.8
Case Keenum,32,21,221,1,0,66.6,6.9,0,3,4.9,0,0,14.4
Andy Dalton,32,20,223,1,0,62.6,6.9,3,7,2.3,0,0,13.6
Philip Rivers,37,21,225,1,1,58.5,6.1,0,1,2.0,0,0,13.4
Jacoby Brissett,32,19,209,0,0,58.6,6.4,3,15,4.1,0,0,13.4
Mitchell Trubisky,22,13,165,1,0,60.5,7.4,3,20,6.1,0,0,12.4
DeShone Kizer,29,17,177,0,1,60.9,6.0,3,17,4.8,0,0,10.8
Brock Osweiler,31,18,211,0,1,59.2,6.8,0,0,3.0,0,0,10.6
Brett Hundley,28,16,157,0,1,57.3,5.5,3,22,7.1,0,0,10.4
C.J. Beathard,29,14,161,0,1,50.2,5.4,2,15,5.7,0,0,8.4
Tom Savage,26,14,139,0,1,52.2,5.2,1,6,3.9,0,0,6.6
Drew Stanton,30,16,187,0,1,53.1,6.1,1,2,1.6,0,0,6.6
Teddy Bridgewater,1,1,11,0,0,61.1,6.6,0,0,3.4,0,0,0.6
Trevor Siemian,3,2,23,0,0,57.1,6.7,0,0,3.5,0,0,0.4
Jimmy Garoppolo,3,1,16,0,0,51.6,5.5,0,0,2.0,0,0,0.4
Cody Kessler,3,2,21,0,0,62.9,6.1,0,0,3.0,0,0,0.2
Bryce Petty,0,0,1,0,0,50.0,7.0,0,0,3.3,0,0,0
Davis Webb,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Alex Tanney,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0
Chase Daniel,0,0,0,0,0,81.2,7.4,0,0,-0.2,0,0,0
T.J. Yates,0,0,0,0,0,50.0,4.0,0,0,0.3,0,0,0
Derek Anderson,0,0,0,0,0,51.3,4.0,0,0,0.0,0,0,0
Geno Smith,0,0,0,0,0,58.5,3.0,0,0,3.8,0,0,0
Cooper Rush,0,0,0,0,0,64.7,5.8,0,0,4.6,0,0,0
