Player,Recpt,Yd,Avg,TD,FL,FPTS
Rob Gronkowski,6,87,14.3,0,0,12.8
Jimmy Graham,4,59,13.9,0,0,7.8
Travis Kelce,5,65,12.7,0,0,7.6
Jordan Reed,4,51,10.6,0,0,7.2
Greg Olsen,4,57,14.0,0,0,6.8
Austin Hooper,2,46,19.3,0,0,6.4
Zach Ertz,4,51,10.6,0,0,6.2
Coby Fleener,4,51,12.2,0,0,6.2
Jesse James,4,39,9.2,0,0,6
Martellus Bennett,4,44,9.8,0,0,5.8
Delanie Walker,4,41,10.4,0,0,5.8
Hunter Henry,2,32,12.5,0,0,5.8
Tyler Eifert,3,40,11.9,0,0,5.8
Jared Cook,4,48,11.9,0,0,5.6
Cameron Brate,2,34,11.7,0,0,5.4
Troy Niklas,3,36,11.4,0,0,5.4
Kyle Rudolph,4,35,8.6,0,0,4.8
Vance McDonald,2,30,14.7,0,0,4.8
Antonio Gates,3,35,11.0,0,0,4.6
Charles Clay,4,39,9.4,0,0,4.2
Jack Doyle,3,35,10.0,0,0,4
Vernon Davis,2,30,12.6,0,0,3.6
Julius Thomas,2,24,10.5,0,0,3.2
Marcedes Lewis,2,22,10.1,0,0,3.2
O.J. Howard,2,28,10.4,0,0,3.2
Dion Sims,2,26,11.0,0,0,3.2
Jason Witten,3,29,9.2,0,0,3
Will Tye,1,20,11.3,0,0,2.6
George Kittle,2,25,9.3,0,0,2.6
Zach Miller,1,20,12.2,0,0,2.6
Virgil Green,2,25,12.2,0,0,2.6
Adam Shaheen,2,22,11.1,0,0,2.6
A.J. Derby,3,29,9.0,0,0,2.4
Tyler Higbee,1,15,9.8,0,0,2.2
Demetrius Harris,2,19,9.9,0,0,2.2
MarQueis Gray,1,16,11.1,0,0,1.6
Josh Hill,1,15,10.2,0,0,1.6
Trey Burton,2,19,9.1,0,0,1.6
Maxx Williams,1,11,8.9,0,0,1.6
Lance Kendricks,1,10,9.5,0,0,1.6
Ed Dickson,1,18,11.6,0,0,1.6
Luke Willson,1,11,11.9,0,0,1.6
Anthony Fasano,1,12,11.3,0,0,1.6
Randall Telfer,2,16,7.6,0,0,1.6
Seth DeValve,1,15,9.4,0,0,1.6
Jonnu Smith,2,17,8.6,0,0,1.6
David Njoku,2,17,7.4,0,0,1.6
Daniel Brown,1,15,8.5,0,0,1.6
Nick Boyle,2,19,8.7,0,0,1.6
Benjamin Watson,1,18,9.6,0,0,1.4
Michael Hoomanawanui,0,3,7.8,0,0,0.6
Richard Rodgers,0,6,8.0,0,0,0.6
Levine Toilolo,0,9,11.8,0,0,0.6
Gerald Everett,0,9,10.4,0,0,0.6
Clive Walford,0,6,12.4,0,0,0.6
Dwayne Allen,0,8,12.3,0,0,0.6
Geoff Swaim,0,2,8.0,0,0,0
Eric Tomlinson,0,0,0.0,0,0,0
Eric Saubert,0,2,14.0,0,0,0
Jordan Leggett,0,2,12.0,0,0,0
Chris Gragg,0,0,0.0,0,0,0
RaShaun Allen,0,0,0.0,0,0,0
Ben Koyack,0,3,9.8,0,0,0
Alan Cross,0,0,0.0,0,0,0
Jeremy Sprinkle,0,3,10.0,0,0,0
Matt Lengel,0,0,0.0,0,0,0
Lee Smith,0,2,6.7,0,0,0
Jacob Hollister,0,3,11.3,0,0,0
Jeff Heuerman,0,5,13.8,0,0,0
Tyler Kroft,0,2,7.7,0,0,0
Nick Vannett,0,3,11.3,0,0,0
David Morgan,0,1,7.5,0,0,0
Darrell Daniels,0,2,10.5,0,0,0
Niles Paul,0,2,11.5,0,0,0
Rhett Ellison,0,2,9.7,0,0,0
James O'Shaughnessy,0,1,14.0,0,0,0
Ross Travis,0,2,7.7,0,0,0
Brandon Williams,0,1,14.0,0,0,0
Sean McGrath,0,1,15.0,0,0,0
Phillip Supernaw,0,1,17.0,0,0,0
Darren Fells,0,5,12.5,0,0,0
Ifeanyi Momah,0,2,14.0,0,0,0
Jerell Adams,0,4,7.5,0,0,0
Chris Manhertz,0,0,0.0,0,0,0
Derek Carrier,0,1,9.5,0,0,0
Nick O'Leary,0,3,11.7,0,0,0
Evan Engram,3,35,9.1,0,0,0
Luke Stocker,0,1,6.3,0,0,0
Brent Celek,0,4,12.0,0,0,0
Logan Paulsen,0,1,8.0,0,0,0
Garrett Celek,0,5,11.6,0,0,0
Eric Ebron,4,46,11.3,0,0,0
Logan Thomas,0,1,9.0,0,0,0
Ryan Hewitt,0,1,8.0,0,0,0
Xavier Grimble,0,3,12.7,0,0,0
Michael Roberts,0,2,9.0,0,0,0
Khari Lee,0,1,7.5,0,0,0
Blake Bell,0,3,17.0,0,0,0
