Player,Recpt,Yd,Avg,TD,FL,FPTS
Antonio Brown,7,92,12.0,0,0,12.4
Odell Beckham,6,81,12.9,0,0,11.4
T.Y. Hilton,6,99,16.3,0,0,11.2
Mike Evans,5,84,14.4,0,0,11
Brandin Cooks,5,86,15.4,0,0,11
Jordy Nelson,6,72,11.2,0,0,10.4
Stefon Diggs,5,71,12.8,0,0,10
Chris Hogan,4,79,16.9,0,0,9.8
A.J. Green,6,82,13.4,0,0,9.8
Keenan Allen,6,82,12.8,0,0,9.6
Dez Bryant,4,65,14.4,0,0,9.4
DeAndre Hopkins,5,74,12.7,0,0,9.4
Doug Baldwin,5,66,11.5,0,0,8.4
Tyreek Hill,4,51,10.9,0,0,8.2
Donte Moncrief,4,57,14.1,0,0,8
DeVante Parker,5,69,13.7,0,0,7.8
Larry Fitzgerald,6,68,11.2,0,0,7.6
Jarvis Landry,6,65,10.3,0,0,7.6
Alshon Jeffery,5,59,11.2,0,0,7.4
Devin Funchess,3,50,13.1,0,0,7.4
Pierre Garcon,4,65,14.2,0,0,7.2
Golden Tate,6,59,9.3,0,0,7.2
Kelvin Benjamin,4,67,14.3,0,0,7
DeSean Jackson,3,51,16.0,0,0,6.8
Sammy Watkins,4,57,13.6,0,0,6.8
Allen Hurns,4,50,10.6,0,0,6.8
Davante Adams,4,50,11.5,0,0,6.8
Randall Cobb,6,56,9.4,0,0,6.8
Amari Cooper,4,51,11.7,0,0,6.8
Jermaine Kearse,4,54,12.2,0,0,6.8
Danny Amendola,4,54,11.6,0,0,6.6
Robby Anderson,3,54,14.2,0,0,6.6
Rishard Matthews,4,58,13.7,0,0,6.6
Michael Crabtree,4,47,10.8,0,0,6.4
Kenny Stills,2,40,15.7,0,0,6.4
Martavis Bryant,3,49,15.1,0,0,6.4
Jeremy Kerley,5,54,10.7,0,0,6.2
Tyrell Williams,3,53,13.8,0,0,6.2
Jaron Brown,3,56,14.4,0,0,6.2
J.D. McKissic,2,21,9.5,0,0,6.2
Jeremy Maclin,4,49,11.8,0,0,5.8
Sterling Shepard,4,48,12.0,0,0,5.8
Adam Thielen,4,59,12.8,0,0,5.8
Paul Richardson,2,43,15.5,0,0,5.8
Cooper Kupp,3,44,12.1,0,0,5.8
Cole Beasley,3,41,10.9,0,0,5.8
JuJu Smith-Schuster,2,30,12.2,0,0,5.4
Kendall Wright,3,40,11.5,0,0,5.2
Adam Humphries,3,42,11.8,0,0,5.2
Eric Decker,3,41,11.1,0,0,5.2
Chris Godwin,2,42,15.3,0,0,5.2
Terrance Williams,3,46,13.4,0,0,5.2
Marqise Lee,4,48,10.6,0,0,5
Trent Taylor,2,35,12.2,0,0,4.8
Will Fuller,2,36,12.5,0,0,4.8
Nelson Agholor,2,30,11.0,0,0,4.8
Marvin Jones,2,35,12.6,0,0,4.8
J.J. Nelson,1,33,17.8,0,0,4.6
Tyler Lockett,3,43,13.9,0,0,4.6
Mike Wallace,3,46,12.8,0,0,4.6
Kamar Aiken,2,33,14.3,0,0,4.2
Michael Floyd,2,32,12.8,0,0,4.2
Deonte Thompson,2,31,12.3,0,0,4.2
Brandon Marshall,3,37,11.8,0,0,4.2
Torrey Smith,2,31,12.2,0,0,4.2
Bruce Ellington,2,34,13.7,0,0,3.8
Marquise Goodwin,2,37,15.2,0,0,3.6
Zay Jones,2,33,12.4,0,0,3.6
Robert Woods,2,33,12.5,0,0,3.6
ArDarius Stewart,2,33,13.4,0,0,3.6
Taywan Taylor,2,31,13.3,0,0,3.6
Chris Conley,2,31,12.3,0,0,3.6
John Brown,2,36,14.7,0,0,3.6
Geronimo Allison,2,31,13.8,0,0,3.6
Brandon LaFell,3,36,11.7,0,0,3.6
T.J. Jones,2,30,13.9,0,0,3.4
Travis Benjamin,2,31,14.3,0,0,3.4
Breshad Perriman,1,26,13.9,0,0,3.2
Albert Wilson,2,27,9.7,0,0,3.2
Andre Holmes,1,21,12.0,0,0,3.2
Seth Roberts,2,23,10.5,0,0,3.2
Brice Butler,1,26,19.0,0,0,3.2
Russell Shepard,1,26,13.8,0,0,3.2
Tavon Austin,1,14,8.2,0,0,2.8
Kaelin Clay,1,22,12.1,0,0,2.6
Alex Erickson,1,20,12.5,0,0,2.6
Curtis Samuel,1,25,13.4,0,0,2.6
Sammie Coates,1,20,14.3,0,0,2.6
Michael Campanaro,2,23,10.3,0,0,2.6
Josh Bellamy,2,23,11.9,0,0,2.6
Dontrelle Inman,1,20,12.1,0,0,2.6
Rashard Higgins,2,27,11.0,0,0,2.6
Markus Wheaton,1,23,13.0,0,0,2.4
Cordarrelle Patterson,1,14,7.7,0,0,1.6
Roger Lewis,0,11,12.7,0,0,1.6
Ricardo Louis,1,19,12.4,0,0,1.6
Aldrick Robinson,1,16,14.7,0,0,1.6
Laquon Treadwell,1,12,12.0,0,0,1.6
Keelan Cole,1,15,9.9,0,0,1.6
Brandon Tate,1,18,11.4,0,0,1.6
Jarius Wright,1,17,11.1,0,0,1.4
Tyler Boyd,1,11,10.8,0,0,1
Pharoh Cooper,1,12,11.1,0,0,0.6
Tanner McEvoy,0,2,14.5,0,0,0.6
Justin Hunter,0,5,13.8,0,0,0.6
Jalin Marshall,0,6,12.6,0,0,0.6
Phillip Dorsett,0,9,15.3,0,0,0
Mekale McKay,0,0,0.0,0,0,0
Stacy Coley,0,0,0.0,0,0,0
Rueben Randle,0,0,0.0,0,0,0
Josh Reynolds,0,3,16.5,0,0,0
Reggie Davis,0,2,13.5,0,0,0
Chris Moore,0,0,7.0,0,0,0
Amara Darboh,0,3,12.3,0,0,0
Matthew Slater,0,0,0.0,0,0,0
Eli Rogers,0,8,11.0,0,0,0
Josh Malone,0,3,11.0,0,0,0
Jared Abbrederis,0,0,0.0,0,0,0
Jehu Chesson,0,3,10.7,0,0,0
Kalif Raymond,0,0,0.0,0,0,0
Geremy Davis,0,2,10.5,0,0,0
Tre McBride,0,2,10.0,0,0,0
Trevor Davis,0,3,11.7,0,0,0
