Player,Recpt,Yd,Avg,TD,FL,FPTS
Antonio Brown,7,119,16.8,0,0,13.8
Julio Jones,5,81,14.0,0,0,9.8
Marvin Jones,4,65,14.2,0,0,9.6
Golden Tate,6,73,11.3,0,0,9.2
Dez Bryant,5,60,11.6,0,0,9
JuJu Smith-Schuster,3,63,17.8,0,0,8.4
Robby Anderson,4,65,13.4,0,0,8.4
A.J. Green,5,67,13.2,0,0,8.2
Sterling Shepard,5,66,12.7,0,0,7.8
Doug Baldwin,6,68,11.2,0,0,7.8
Jermaine Kearse,4,61,12.8,0,0,7.8
Stefon Diggs,4,59,12.1,0,0,7.4
Sammy Watkins,3,50,15.9,0,0,7.4
Brandin Cooks,4,59,13.8,0,0,7.4
Michael Thomas,5,60,11.2,0,0,7.2
Adam Thielen,4,60,12.3,0,0,6.8
Demaryius Thomas,4,62,12.7,0,0,6.8
DeAndre Hopkins,5,55,10.9,0,0,6.8
Cooper Kupp,3,41,13.7,0,0,6.4
DeSean Jackson,3,51,15.0,0,0,6.2
Terrance Williams,4,52,12.3,0,0,6.2
Emmanuel Sanders,4,55,13.3,0,0,6
T.Y. Hilton,4,59,13.5,0,0,6
Keenan Allen,5,58,11.4,0,0,6
Larry Fitzgerald,4,50,10.7,0,0,5.8
Paul Richardson,2,43,16.0,0,0,5.8
Kelvin Benjamin,3,41,12.9,0,0,5.8
Allen Hurns,3,42,12.6,0,0,5.8
Mohamed Sanu,4,42,10.5,0,0,5.8
Rishard Matthews,3,43,13.5,0,0,5.8
Jordy Nelson,3,42,10.9,0,0,5.8
Ted Ginn,3,45,13.3,0,0,5.8
Marquise Goodwin,3,53,17.8,0,0,5.6
Josh Doctson,2,39,14.0,0,0,5.4
Cole Beasley,3,35,9.4,0,0,5.4
Marqise Lee,3,43,12.1,0,0,5.2
Robert Woods,3,44,13.9,0,0,5
Eric Decker,3,36,11.0,0,0,4.8
Deonte Thompson,2,32,14.3,0,0,4.8
Tyler Lockett,3,44,12.7,0,0,4.6
Phillip Dorsett,2,35,12.7,0,0,4.2
Will Fuller,2,30,11.8,0,0,4.2
Roger Lewis,2,34,12.3,0,0,4.2
Taylor Gabriel,2,33,12.1,0,0,4.2
Davante Adams,3,37,10.5,0,0,4.2
Chris Godwin,3,39,12.6,0,0,4.2
Kenny Britt,2,32,13.3,0,0,4.2
Martavis Bryant,1,31,16.6,0,0,4.2
Donte Moncrief,3,37,11.8,0,0,4.2
T.J. Jones,2,39,15.6,0,0,4.2
Corey Davis,2,33,12.0,0,0,4.2
Brandon Coleman,2,34,14.3,0,0,4.2
Danny Amendola,3,31,10.4,0,0,4
Jordan Matthews,3,34,11.6,0,0,4
Terrelle Pryor,2,30,11.5,0,0,3.6
Brian Quick,2,32,13.4,0,0,3.6
Tre McBride,1,35,22.1,0,0,3.6
Randall Cobb,3,35,9.3,0,0,3.6
Aldrick Robinson,2,30,12.5,0,0,3.6
John Brown,2,37,15.0,0,0,3.6
Brandon LaFell,3,30,9.9,0,0,3.6
Adam Humphries,3,36,10.2,0,0,3.4
Tavon Austin,1,17,10.0,0,0,3.4
Tyrell Williams,2,35,13.1,0,0,3.2
Justin Hardy,2,25,12.8,0,0,3.2
Kenny Golladay,1,26,14.0,0,0,3.2
Jamison Crowder,3,35,9.4,0,0,3.2
Travis Benjamin,2,28,12.9,0,0,3
J.D. McKissic,1,13,10.5,0,0,3
Andre Holmes,1,15,12.0,0,0,2.8
Mike Williams,1,21,11.7,0,0,2.6
Kendall Wright,2,27,13.0,0,0,2.6
