Name,,Opp,FPts,,Att,Yd,TD,,Rec,Tar,Yd,TD,,Fum,TD,Yd,,% Own
LeSean McCoy RB BUF (6),,@LACL 24-54 ,24.6,,13,114,1,,1,1,12,1,,0,2,126,,98%
Latavius Murray RB MIN (9),,LAW 24-7 ,21.6,,15,95,2,,1,2,1,0,,0,2,96,,82%
Mark Ingram RB NO (5),,WASW 34-31 ,21.5,,11,134,1,,3,4,21,0,,0,1,155,,97%
Alvin Kamara RB NO (5),,WASW 34-31 ,19.6,,8,42,0,,6,9,74,1,,0,1,116,,89%
IRD'Onta Foreman RB HOU (7),,ARIW 31-21 ,19,,10,65,2,,3,3,15,0,,1,2,92,,23%
QSamaje Perine RB WAS (5),,@NOL 31-34 ,18.6,,23,117,1,,1,2,9,0,,0,1,126,,74%
Jordan Howard RB CHI (9),,DETL 24-27 ,18.5,,15,125,1,,0,0,0,0,,0,1,125,,95%
Orleans Darkwa RB NYG (8),,KCW 12-9 ,15,,20,74,1,,2,4,16,0,,0,1,90,,45%
Dion Lewis RB NE (9),,@OAKW 33-8 ,14.8,,10,60,0,,4,4,28,1,,0,1,88,,76%
Melvin Gordon RB LAC (9),,BUFW 54-24 ,14,,20,80,1,,0,2,0,0,,0,1,80,,96%
Lamar Miller RB HOU (7),,ARIW 31-21 ,13.3,,22,61,0,,4,5,22,1,,1,1,83,,96%
Alex Collins RB BAL (10),,@GBW 23-0 ,13.1,,20,49,1,,4,7,22,0,,0,1,71,,72%
Corey Clement RB PHI (10),,@DALW 37-9 ,13,,6,50,1,,0,0,0,0,,0,1,50,,20%
OUTLe'Veon Bell RB PIT (9),,TENW 40-17 ,12.3,,12,46,0,,9,11,57,0,,0,0,103,,98%
Tarik Cohen RB CHI (9),,DETL 24-27 ,11.9,,9,44,1,,4,6,15,0,,0,1,191,,51%
Tevin Coleman RB ATL (5),,@SEAW 34-31 ,11.8,,20,43,1,,1,2,15,0,,0,1,58,,88%
Leonard Fournette RB JAC (8),,@CLEW 19-7 ,11.8,,28,111,0,,2,3,7,0,,0,0,118,,92%
