Player,Opp,Yds,TD,Int,Yds,TD,Yds,TD,FumTD,2PT,Lost,Points
Travis Kelce TE - KC View News View Videos,@HOU,-,-,-,1.33,0.01,66.63,0.43,-,0.01,0.04,9.38
Zach Ertz TE - PHI,ARI,-,-,-,-,-,62.78,0.39,-,-,0.03,8.56
Jared Cook TE - OAK,BAL,-,-,-,-,-,56.18,0.33,-,0.01,0.03,7.56
Charles Clay TE - BUF,@CIN,-,-,-,-,-,50.88,0.35,-,-,0.03,7.13
Delanie Walker TE - TEN View News View Videos,@MIA,-,-,-,0.13,-,53.16,0.29,-,-,0.03,7.01
Cameron Brate TE - TB,NE,-,-,-,-,-,44.9,0.4,-,-,0.02,6.85
Kyle Rudolph TE - MIN,@CHI,-,-,-,-,-,48.82,0.33,-,0.01,0.03,6.82
Jason Witten TE - DAL,GB,-,-,-,-,-,42.31,0.31,-,0.01,0.02,6.07
Evan Engram TE - NYG,LAC,-,-,-,0.02,-,43.79,0.26,-,-,0.03,5.88
Jimmy Graham TE - SEA View News,@LA,-,-,-,-,-,40.76,0.25,-,-,0.02,5.54
Eric Ebron TE - DET,CAR,-,-,-,-,-,41.63,0.23,-,0.01,0.03,5.50
Austin Seferian-Jenkins TE - NYJ,@CLE,-,-,-,-,-,40.52,0.24,-,-,0.03,5.43
Benjamin Watson TE - BAL View Videos,@OAK,-,-,-,-,-,38.25,0.25,-,-,0.02,5.29
Ryan Griffin TE - HOU,KC,-,-,-,-,-,35.98,0.22,-,-,0.02,4.88
Zach Miller TE - CHI,MIN,-,-,-,-,-,34.83,0.23,-,-,0.02,4.82
Seth DeValve TE - CLE View News,NYJ,-,-,-,-,-,34.42,0.23,-,-,0.02,4.78
Martellus Bennett TE - NE,@TB,-,-,-,-,-,35.65,0.19,-,0.01,0.02,4.69
Antonio Gates TE - LAC,@NYG,-,-,-,-,-,32.85,0.22,-,0.01,0.01,4.61
Jesse James TE - PIT,JAX,-,-,-,0.02,-,32.4,0.22,-,0.01,0.02,4.54
David Njoku TE - CLE,NYJ,-,-,-,0.16,-,29.03,0.22,-,0.01,0.02,4.22
Hunter Henry TE - LAC,@NYG,-,-,-,0.09,-,27.95,0.23,-,0.01,0.02,4.16
Marcedes Lewis TE - JAX,@PIT,-,-,-,-,-,28.56,0.22,-,-,0.01,4.16
Tyler Kroft TE - CIN,BUF,-,-,-,-,-,26.13,0.2,-,-,0.02,3.77
Dwayne Allen TE - NE,@TB,-,-,-,-,-,27.69,0.17,-,-,0.02,3.75
Julius Thomas TE - MIA,TEN,-,-,-,-,-,27.67,0.17,-,-,0.02,3.75
Jermaine Gresham TE - ARI,@PHI,-,-,-,-,-,24.85,0.13,-,-,0.02,3.23
Tyler Higbee TE - LA,SEA,-,-,-,-,-,22.65,0.14,-,-,0.02,3.07
George Kittle TE - SF,@IND,-,-,-,0.02,-,23.51,0.12,-,-,0.02,3.03
Ed Dickson TE - CAR,@DET,-,-,-,-,-,21.59,0.14,-,-,0.01,2.98
O.J. Howard TE - TB,NE,-,-,-,0.09,-,20.89,0.14,-,-,0.02,2.90
Gerald Everett TE - LA,SEA,-,-,-,0.01,-,17.75,0.12,-,-,0.01,2.48
Nick Boyle TE - BAL,@OAK,-,-,-,-,-,17.99,0.1,-,0.01,0.02,2.38
Stephen Anderson TE - HOU,KC,-,-,-,-,-,15.53,0.09,-,-,0.01,2.07
Lance Kendricks TE - GB,@DAL,-,-,-,-,-,14.49,0.09,-,-,0.01,1.97
Jonnu Smith TE - TEN View Videos,@MIA,-,-,-,0.02,-,13.54,0.1,-,-,0.01,1.94
Trey Burton TE - PHI,ARI,-,-,-,-,-,13.59,0.08,-,-,0.01,1.82
Dion Sims TE - CHI,MIN,-,-,-,-,-,11.26,0.08,-,-,0.01,1.59
Demetrius Harris TE - KC View Videos,@HOU,-,-,-,-,-,10.51,0.08,-,0.01,0.01,1.53
Luke Willson TE - SEA,@LA,-,-,-,-,-,10.59,0.08,-,-,0.01,1.52
Vance McDonald TE - PIT,JAX,-,-,-,-,-,10.21,0.08,-,-,0.01,1.48
Garrett Celek TE - SF,@IND,-,-,-,-,-,9.68,0.08,-,-,0.01,1.43
Darren Fells TE - DET,CAR,-,-,-,-,-,10.19,0.07,-,-,0.01,1.42
Brandon Williams TE - IND,SF,-,-,-,-,-,9.86,0.07,-,-,0.01,1.39
Jacob Hollister TE - NE,@TB,-,-,-,0.02,-,9.87,0.06,-,-,0.01,1.33
James Hanna TE - DAL,GB,-,-,-,-,-,8.45,0.06,-,-,0.01,1.19
Rhett Ellison TE - NYG,LAC,-,-,-,-,-,8.18,0.06,-,-,0.01,1.16
Brent Celek TE - PHI,ARI,-,-,-,-,-,8.38,0.05,-,0.01,0.01,1.14
Richard Rodgers TE - GB,@DAL,-,-,-,-,-,7.64,0.05,-,-,0.01,1.04
Ben Koyack TE - JAX,@PIT,-,-,-,-,-,7.32,0.04,-,-,0.01,0.95
Randall Telfer TE - CLE View News,NYJ,-,-,-,-,-,5.65,0.04,-,-,0.01,0.79
Michael Roberts TE - DET,CAR,-,-,-,0.03,0.01,4.89,0.04,-,-,0.01,0.77
Nick O'Leary TE - BUF,@CIN,-,-,-,-,-,5.39,0.03,-,-,0.01,0.70
Lee Smith TE - OAK,BAL,-,-,-,-,-,4.94,0.03,-,-,-,0.67
Jordan Leggett TE - NYJ,@CLE,-,-,-,0.09,-,4.93,0.03,-,-,0.01,0.66
